Name,Rating,Code,CMR Price,Event Price,Full Price,nombre_comercial,marca,modelo,tipo,género,horma,material,material_del_forro,material_de_la_suela,tipo_de_caña,,temporada,material_del_interior,hecho_en,transpirabilidad_de_la_tela,altura_de_la_plataforma,tipo_de_ajuste,forma_de_la_punta,altura_del_tacón,tipo_de_suela,registro_sic
Tenis Hoka para Mujer Running Clifton 9,(0),Código: 72783183,559.990,639.990,799.990,Clifton 9,Hoka,1127896-RSRW,Tenis,Mujer,Normal,Tela,Textil,Goma,,,,,,Sí,,,,,,
Tenis Call It Spring para Mujer Moda Fresh,5 (1),Código: 34169808,,,179.990,Fresh,Call It Spring,Fresh100,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,,,Toda temporada,,,,,,,,,
Tenis Asics para Mujer Running Jolt 4,5 (1),Código: 72902078,,,259.990,Jolt,Asics,1012B421-407,Tenis deportivos,Mujer,Normal,Sintético,Poliéster,Caucho,,,Otoño-Invierno,,,,,,,,,
Tenis Diadora Hombre Moda Court7,4.7 (117),Código: 882687519,,,159.990,Court7,Diadora,COURT7 BL,Tenis moda,Hombre,Normal,Sintético,,Caucho,,,Toda temporada,Sintético,,,,,,,,
Tenis Converse Mujer Moda Chuck Taylor Move,4.7 (74),Código: 28346372,,,424.990,Tenis Converse Mujer Moda Chuck Taylor Move,Converse,568498C,Tenis moda,Mujer,Grande,Tela,Sintético,Caucho,,,Toda temporada,,,,,,,,,
Tenis Puma para Hombre Lifestyle Smash 3.0,(0),Código: 72794188,,,369.900,Smash 3.0,Puma,390984 01,Tenis,Hombre,Normal,Sintético,,Caucho,,,,Textil,,No,,,,,,
Tenis Nike para Hombre Moda Court Royale 2 Mid,4.9 (16),Código: 72783785,,,369.950,Court,Nike,CQ9179-100-WHT,Tenis moda,Hombre,Normal,Cuero,,Goma,,,Toda temporada,Poliéster,,,,,,,,
Tenis Adidas para Mujer Tenis Racer TR23,4.8 (120),Código: 72712507,351.990,,,Tenis Racer TR23,Adidas,IF0044,Tenis moda,Mujer,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Deportivos Reebok para Mujer de Running Energen Lux,4.6 (8),Código: 72816459,,,219.990,Energen Lux,Reebok,100034012,Tenis deportivos,Mujer,Normal,Tela,,Sintético,,,,Textil,,Sí,,,,,,
Tenis Skechers Mujer - Zapatos Skechers Dama D'Luxe Finess - Pureglam Gris Tenis cómodos para mujer. Zapatillas moda,4.8 (12),Código: 72706868,215.890,251.890,359.900,D'Luxe Finess - Pureglam,Skechers,149837GYSL,Tenis moda,Mujer,Normal,Tela,Poliéster,Caucho,,,Toda temporada,,,,,,,,,
Tenis Moda Converse Chuck Taylor All Star Lift Mujer,4.6 (9),Código: 28465437,279.990,319.990,399.990,Chuck Taylor All Star Lift,Converse,561680C,Tenis moda,Mujer,Normal,Cuero,Textil,Caucho,,,Toda temporada,,,,,,,,,
"Guayos Diadora Para Cancha Sintética - Zapatilla De Fútbol Con Suela De Torretines, Color Negro De Hombre Con Cordones",4.6 (30),Código: 882741156,,,199.990,Pichichi 5,Diadora,101.178792C0004,Guayos,Hombre,Normal,Sintético,Sintético,Sintético,,,Toda temporada,,,,,,,,,
Tenis Nike para Mujer Running React Infinity 3,3.7 (3),Código: 72715044,566.990,647.990,809.990,React Infinity 3,Nike,DZ3016,Tenis,Mujer,Normal,Sintético,Textil,Goma,,,Toda temporada,,,,,,,,,
Tenis Adidas para Mujer Moda VL Court 3.0,4.9 (66),Código: 72888862,,,279.990,VL Court 3.0,Adidas,ID6280,Tenis moda,Mujer,Normal,Cuero,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis New Balance para Mujer Moda 420,3.5 (2),Código: 72802435,349.990,399.990,499.990,420,New Balance,WL420LC2,Tenis moda,Mujer,Normal,Cuero,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Adidas para Mujer Moda Urban Court,4.9 (83),Código: 72801923,,,299.950,Urban Court,Adidas,IF4091,Tenis,Mujer,Normal,Sintético,,Caucho,No aplica,,,Textil,,,,,,,,
Tenis On Running para Mujer Moda Cloud X Shift,(0),Código: 72736619,,,949.990,Cloud X Shift,ON RUNNING,6698263,Tenis moda,Mujer,Normal,Sintético,,Caucho,No aplica,,,Poliéster,,,,,,,,
Tenis Skechers Mujer - Zapatos Skechers Dama. Tenis cómodos Slip Ins Skechers para mujer. Zapatillas moda Ultraflex 3.0,4.7 (3),Código: 66228474,221.890,258.890,369.900,Ultraflex - Slip In,Skechers,149710MVE,Tenis moda,Mujer,Normal,Sintético,,Goma,,,Toda temporada,Poliéster,,,,,,,,
Tenis Adidas para Hombre Moda Showtheway 2.0,4.7 (779),Código: 38215426,,,349.950,Showtheway 2.0,Adidas,GY6347SHOWT0201,Tenis moda,Hombre,Normal,Tela,Sintético,Caucho,,,Toda temporada,,,,,,,,,
Tenis Deportivos Reebok para Mujer de Running Energen Lux,4.9 (24),Código: 72790830,,,219.990,Energen Lux,Reebok,100034013,Tenis deportivos,Mujer,Normal,Tela,,Sintético,,,,Textil,,Sí,,,,,,
Tenis moda Puma Rider Fv Future Vintage Mujer,4.8 (8),Código: 72788162,370.990,423.990,529.990,Rider Fv Future Vintage,Puma,387672 07,Tenis moda,Mujer,Normal,Sintético,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis New Balance Mujer Running 430,5 (5),Código: 66428961,202.990,231.990,289.990,430,New Balance,WE430RP2,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Nike Nike Court Legacy Bpv para Niño,5 (4),Código: 34306210,202.990,231.990,289.990,Court Legacy,Nike,DA5381-102-WHT,Tenis moda,Niño,Normal,Sintético,Cuero,Caucho,,,Toda temporada,,,,,,,,,
Tenis Reebok para Mujer Running Energen Run 3,5 (3),Código: 72771761,223.990,255.990,319.990,Energen Run 3,Reebok,100033966,Tenis,Mujer,Normal,Tela,Textil,Goma,,,Toda temporada,,,,,,,,,
Tenis Adidas Mujer Moda Alphaedge +,4.8 (80),Código: 72712563,293.990,335.990,419.950,Alphaedge +,Adidas,IF7286,Tenis moda,Mujer,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Bearcliff para Hombre Moda Askar3,4 (1),Código: 882994928,103.990,,,Askar3,Bearcliff,Askar3 Bl,Tenis moda,Hombre,Normal,Sintético,Malla (nylon),Sintético,,,Toda temporada,,,,,,,,,
Tenis Adidas para Hombre Stan Smith,4.7 (9129),Código: 72738056,,,599.950,Stan Smith,Adidas,ID2029,Tenis moda,Hombre,Normal,Cuero,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Puma para Hombre Lifestyle Up,4.7 (3),Código: 72794036,,,329.900,Up,Puma,372605 07,Tenis,Hombre,Normal,Sintético,,Caucho,,,,Textil,,No,,,,,,
Tenis Nike para Mujer Running W Air Zoom Pegasus 40 | Zapatillas Nike W Air Zoom Pegasus 40,(0),Código: 72826106,489.990,559.990,699.950,W Air Zoom Pegasus 40,Nike,DV3854-300,Tenis deportivos,Mujer,Normal,Tela,Poliéster,Caucho,,,,,,Sí,,,,,,
Tenis Asics Gel Resolution 9 para Niño | Zapatillas Asics Gel Resolution 9 para Niño,5 (2),Código: 72836167,221.990,258.990,369.990,,Asics,1044A067-400,Tenis moda,Niño,Normal,Sintético,Poliéster,Caucho,,,Toda temporada,,,,,Cordones,,,,
Tenis Adidas para Mujer Running Tenis Duramo Rc,4.8 (30),Código: 72094086,,,299.990,Tenis Duramo Rc,Adidas,ID2707,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis New Balance Hombre Moda 373,5 (4),Código: 53924923,,,,373,New Balance,ML373RE2,Tenis moda,Hombre,Normal,Cuero,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Reebok para Hombre Running Flexagon Energy Tr 4,4.6 (10),Código: 72771055,,,249.990,Flexagon Energy Tr 4,Reebok,100033362,Tenis,Hombre,Normal,Tela,Textil,Goma,,,Toda temporada,,,,,,,,,
Tenis Adidas Outdoor Terrex Eastrail | Zapatillas Adidas Outdoor Terrex Eastrail,4.5 (193),Código: 61123543,377.990,431.990,539.990,Terrex Eastrail,adidas,HQ0936TERRE0301,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Reebok para Mujer Cross training Flexagon Energy Tr 4,5 (9),Código: 72771029,174.990,199.990,249.990,Flexagon Energy Tr 4,Reebok,100033352,Tenis,Mujer,Normal,Tela,Textil,Goma,,,Toda temporada,,,,,,,,,
Tenis Skechers Selectors para Niño Velcro,4.8 (8),Código: 72794540,,,144.900,,Skechers,403764N-RED,Tenis moda,Niño,Normal,Tela,,Goma,,,Toda temporada,Poliéster,,,,Velcro,,,,
Tenis Reebok Mujer Moda Classic Leather Sp Extra,4.8 (18),Código: 63866766,286.990,327.990,409.990,Classic Leather Sp Extra,Reebok,HQ7187,Tenis moda,Mujer,Normal,Cuero,Sintético,Goma,,,Toda temporada,,,,,,,,,
Tenis Reebok para Hombre Cross Training Nanoflex Tr 2 | Tenis para Hombre de Cross Training Color Negro,4.5 (2),Código: 72815909,,,389.900,Nanoflex Tr 2,Reebok,100033771,Tenis,Hombre,Normal,Sintético,Textil,Goma,,,Toda temporada,,,,,,,,,
Tenis Adidas para Mujer Moda VL Court 3.0,4.8 (56),Código: 72888902,,,329.990,VL Court 3.0,Adidas,ID8797,Tenis moda,Mujer,Normal,Cuero,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis moda Veja V-10 Hombre,5 (1),Código: 62677425,,,1.059.990,V-10,Veja,VX0702901B,Tenis moda,Hombre,Normal,Tela,Sintético,Goma,,,Toda temporada,,,,,,,,,
Guayos Puma Rapido III Fg Niño,5 (3),Código: 64398830,195.890,223.890,279.900,,Puma,106576 02,Guayos,Niño,,Sintético,,Sintético,,,Toda temporada,Textil,China,,,Cordones,,,,
Tenis Sybilla para Mujer Moda Begu,4.4 (68),Código: 882873159,,,129.990,Begu,Sybilla,Begu Bl,Tenis moda,Mujer,Normal,Sintético,Poliéster,Sintético,No aplica,,,,,,,,,,,
Tenis Adidas para Hombre Moda Grand Court Base 2.0,4.7 (896),Código: 38212323,,,299.990,Grand Court Base 2.0,Adidas,GW9250GRAND0603,Tenis,Hombre,Normal,Sintético,Sintético,Caucho,,,Toda temporada,,,,,,,,,
Tenis Nike Hombre Moda Air Force 1,4.8 (4),Código: 14665687,,,699.990,Air Force 1,Nike,CW2288-111,Tenis moda,Hombre,Normal,Cuero,Poliéster,Caucho,,,Toda temporada,,,,,,,,,
Tenis On Running para Mujer Running Cloudmonster,(0),Código: 72736614,799.990,899.990,999.990,Cloudmonster,On Running,6198128,Tenis moda,Mujer,Normal,Tela,Poliéster,Caucho,,,Toda temporada,,,,,,,,,
Tenis Nike para Mujer Running Quest 5 | Zapatillas Nike Quest 5,(0),Código: 72832970,293.990,335.990,419.950,Quest 5,Nike,DD9291-600-RED,Tenis deportivos,Mujer,Normal,Tela,Poliéster,Caucho,,,,,,Sí,,,,,,
Tenis Skechers Mujer - Zapatos Skechers Dama. Tenis rojo cómodos Skechers para mujer. Zapatillas moda Halos,4.8 (10),Código: 69670320,209.890,244.890,349.900,Halos,Skechers,155450MVE,Tenis moda,Mujer,Normal,Cuero,Poliéster,Caucho,,,Toda temporada,,,,,,,,,
Tenis Fratta para Mujer Running Sabi2,4.8 (38),Código: 883014836,89.990,104.990,149.990,Sabi2,Fratta,Sabi2 Ne,Tenis,Mujer,Normal,Tela,Poliéster,Goma,,,Toda temporada,,,,,,,,,
Tenis Nike Hombre Moda Air Max Systm,4.9 (15),Código: 56488720,,,699.990,Air Max,Nike,DM9537-102-WHT,Tenis moda,Hombre,Normal,Sintético,Sintético,Caucho,,,Toda temporada,,,,,,,,,
Tenis Michael Kors para Mujer Evy Lace Up | Tenis de moda para mujer con plataforma,(0),Código: 72788239,639.990,,,Evy Lace Up,Michael Kors,43H3EYFS1B200,Tenis moda,Mujer,Normal,Sintético,,Caucho,,,Toda temporada,Algodón,,,,,,,,
Tenis Nike para Hombre Cross Training Legend Essential 3,4.3 (23),Código: 60841487,,,369.990,Legend,Nike,DM1120-001-BLK,Tenis deportivos,Hombre,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Converse Unisex Moda Chuck Taylor All Star,4.3 (19),Código: 72863591,,,,Tenis Converse Unisex Moda Chuck Taylor All Star,Converse,M7650C,Tenis moda,Unisex,Grande,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Guayos Adidas Hombre Copa Pure 4 Fxg,5 (7),Código: 72712306,,,339.950,Copa Pure 4 Fxg,Adidas,ID4322,Tenis deportivos,Hombre,Normal,Sintético,,Sintético,,,Toda temporada,Textil,,,,,,,,
Tenis Asics Mujer Running Gel Excite 9,4.6 (147),Código: 69295244,244.990,279.990,349.990,Gel Excite 9,Asics,1012B182.029,Tenis deportivos,Mujer,Normal,Sintético,Sintético,Caucho,,,Toda temporada,,,,,,,,,
Tenis Puma Smash V2 Metallics Mu V para Niña Velcro | Zapatillas Puma para Niña,5 (1),Código: 72722182,188.890,215.890,269.900,,Puma,389683 01,Tenis moda,Niña,Normal,Sintético,,Caucho,,,Toda temporada,Textil,,,,Velcro,,,,
Tenis Deportivos Reebok para Mujer de Cross Training Nano X3,5 (1),Código: 72790838,377.990,431.990,539.990,Nano X3,Reebok,100069906,Tenis deportivos,Mujer,Normal,Sintético,Sintético,Goma,,,,,,Sí,,,,,,
Tenis Asics Hombre Running Jolt 4,4.4 (16),Código: 71279043,,,299.990,Jolt,Asics,1011B603-404,Tenis deportivos,Hombre,Normal,Sintético,Poliuretano,Caucho,,,Toda temporada,,,,,,,,,
Tenis Nike para Hombre Moda Air Force 1 '07 Lv8 Rmx| Zapatillas Nike para Hombre Air Force 1,5 (1),Código: 72826081,,,779.950,Air Force 1,Nike,DZ2522-001,Tenis moda,Hombre,Normal,Cuero,Poliéster,Caucho,No aplica,,,,,,,,,,,
Tenis Adidas Hombre Running Duramo Speed M,4.8 (215),Código: 72712477,,,539.950,Duramo Speed M,Adidas,IE9674,Tenis deportivos,Hombre,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis moda Reebok Bb 4000 II Mujer,4.7 (32),Código: 63866871,307.990,351.990,439.990,Bb 4000 II,Reebok,IF4731,Tenis moda,Mujer,Normal,Sintético,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Adidas Originals para Mujer Moda Superstar,5 (2),Código: 72781164,,,599.950,Superstar,Adidas Originals,IF7615,Tenis moda,Mujer,Normal,Sintético,Textil,Caucho,No aplica,,,,,,,,,,,
Tenis Adidas para Mujer Moda Samba,4.8 (5083),Código: 72905184,,,599.990,Samba,Adidas,ID0477,Tenis moda,Mujer,Normal,Cuero,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Puma para Hombre Lifestyle Shuffle,(0),Código: 72794053,,,349.900,Shuffle,Puma,309668 05,Tenis,Hombre,Normal,Sintético,,Caucho,,,,Textil,,No,,,,,,
Tenis Skechers para Hombre Moda Terrabite Ravlin | Zapatillas Skechers para Hombre,4.5 (8),Código: 72808314,,,369.990,Terrabite Ravlin,Skechers,237346BKCC,Tenis moda,Hombre,Normal,Sintético,Poliéster,Goma,Baja,,,,,,,,,,,
Tenis Basement para Mujer Moda Bambistow,4.7 (3),Código: 882994470,119.990,,,Bambistow,Basement,Bambistow Bl,Tenis moda,Mujer,Normal,Sintético,Poliéster,Sintético,,,Toda temporada,,,,,,,,,
Tenis Deportivos Reebok para Mujer de Cross Training Flexagon For,5 (1),Código: 72790781,188.990,215.990,269.990,Flexagon For,Reebok,100033373,Tenis deportivos,Mujer,Normal,Sintético,,Goma,,,,Textil,,Sí,,,,,,
Tenis Nike para Mujer Moda Court Vision Lo Nn,4.5 (13),Código: 72784052,255.490,291.990,364.950,Court,Nike,DH3158-108-WHT,Tenis moda,Mujer,Normal,Sintético,,Goma,,,Toda temporada,Poliéster,,,,,,,,
Tenis Reebok Hombre Running Reebok Lite Plus 3,4.4 (10),Código: 72714073,,,259.900,Reebok Lite Plus 3,Reebok,100008845,Tenis deportivos,Hombre,Normal,Tela,Sintético,Goma,,,Toda temporada,,,,,,,,,
Tenis Adidas para Hombre Moda 100DB Mid,5 (7),Código: 72801650,,,459.950,100DB Mid,Adidas,IG1567,Tenis,Hombre,Normal,Cuero,,Caucho,Alta,,,Textil,,,,,,,,
Tenis Fratta para Mujer Running Idastrap,4.5 (4),Código: 883014788,,,149.990,Idastrap,Fratta,Idastrap Ne,Tenis,Mujer,Normal,Sintético,Poliéster,Goma,,,Toda temporada,,,,,,,,,
Tenis Adidas para Hombre Moda Forum Low,4.8 (5106),Código: 10844870,,,599.990,Forum Low,Adidas Originals,FY7756FORUM0101,Tenis moda,Hombre,Normal,Sintético,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Reebok Hombre Running Ztaur Run Ii,4.8 (16),Código: 72713948,254.890,,,Ztaur Run Ii,Reebok,100033405,Tenis deportivos,Hombre,Normal,Tela,Sintético,Goma,,,Toda temporada,,,,,,,,,
Tenis Adidas Mujer Cross training Everyset Trainer W,4.5 (72),Código: 72712352,,,549.990,Everyset Trainer W,Adidas,ID4995,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis New Balance Fresh Foam Arishi V4 para Mujer Running New Balance,5 (7),Código: 72735838,321.990,367.990,459.990,Fresh Foam Arishi V4,New Balance,WARISEB4,Tenis,Mujer,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Skechers con Comfyflex Minitrainer para Niño Velcro,4.9 (20),Código: 47607928,132.890,151.890,189.900,,Skechers,407305N-NVLM,Tenis con luces,Niño,Normal,Sintético,,Goma,,,Toda temporada,Poliéster,,,,Velcro,,,,
Tenis Moda Veja Campo Mujer,(0),Código: 39522855,,,949.990,CAMPO,Veja,CP0502920A,Tenis moda,Mujer,Normal,Cuero,,Caucho,,,Toda temporada,Textil,,,,,,,,
Tenis Adidas Mujer Moda Park Street,4.9 (113),Código: 70488461,,,399.950,Park Street,Adidas,IG9850,Tenis moda,Mujer,Normal,Sintético,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Puma para Hombre Moda Puma Shuffle Perf,5 (1),Código: 72878601,,,349.990,Puma Shuffle Perf,Puma,380150 09,Tenis moda,Hombre,Normal,Sintético,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Hoka para Mujer Running Rincon 3,4 (2),Código: 72783110,,,699.990,Rincon 3,Hoka,1119396-SOAB,Tenis,Mujer,Normal,Tela,Textil,Goma,,,,,,Sí,,,,,,
Tenis Colegiales Gomosos Boby Cordón,4.9 (8),Código: 62763082,,,79.900,,Los Gomosos,F181020-BLANCO,Calzado escolar,Unisex,Normal,Sintético,,Goma,,,Toda temporada,Sintético,,,,Cordones,,,,
Tenis Nike Hombre Cross Training Renew Retaliation 4,4.9 (14),Código: 56488634,,,,Nike Renew Retaliation 4,Nike,DH0606-005-BLK,Tenis deportivos,Hombre,Normal,Tela,Sintético,Caucho,,,Toda temporada,,,,,,,,,
Tenis Adidas para Niña Tensaur Run,4.5 (24),Código: 72751918,188.990,215.990,269.950,,Adidas,IF0347,Tenis deportivos,Niña,Normal,Tela,,Sintético,,,Toda temporada,Textil,,,,Cordones,,,,
Tenis On Running Mujer Running Cloud X 3,(0),Código: 48607725,,,899.990,Cloud X 3,On Running,6098697,Tenis deportivos,Mujer,Normal,Sintético,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Adidas Breaknet 2.0 Niña Velcro,4.7 (84),Código: 62997388,202.990,231.990,289.950,Breaknet 2.0 El K,adidas,HP8963BREAK0203,Tenis moda,Niña,Normal,Cuero,Cuero,Caucho,,,Toda temporada,,,,,,,,,
Tenis Adidas Hombre Cross training Everyset Trainer,5 (3),Código: 72712347,,,549.990,Everyset Trainer,Adidas,ID4991,Tenis deportivos,Hombre,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis New Balance 500 para Hombre,4.7 (9),Código: 69639239,,,400.990,500,New Balance,GM500OE2,Tenis moda,Hombre,Normal,Sintético,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis moda Veja V-15 Hombre,4.5 (8),Código: 28369579,,,,V-15,Veja,VQ0201270B,Tenis moda,Hombre,Normal,Cuero,Sintético,Goma,,,Toda temporada,,,,,,,,,
Tenis Adidas Hombre Running Ultraboost Light,4.8 (710),Código: 72712411,,,999.950,Ultraboost,Adidas,IE1689,Tenis deportivos,Hombre,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Reebok Mujer Running Lite Plus 3,4.5 (61),Código: 38214883,181.990,207.990,259.990,Lite Plus 3,Reebok,GY3974REEBO0201,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Adidas para Hombre Moda Tenis Breaknet 2.0,4.4 (30),Código: 72094244,,,349.950,Tenis Breaknet 2.0,Adidas,IG5385,Tenis,Hombre,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Asics Hombre Running Patriot 13,4.8 (19),Código: 72708594,,,299.990,Patriot,Asics,1011B485-021,Tenis deportivos,Hombre,Normal,Sintético,Sintético,Caucho,,,Toda temporada,,,,,,,,,
Tenis Asics para Mujer Running Gel-Contend 8 Ne0,4.6 (108),Código: 72782887,,,349.990,Gel-Contend 8 Ne0,Asics,1012B320-012,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Fila Mujer Moda Raptor,4.7 (6),Código: 64679201,,,,Raptor,Fila,WSRAPTOR-NE0,Tenis moda,Mujer,Normal,Sintético,Textil,Sintético,,,Toda temporada,,,,,,,,,
Tenis On Running para Mujer Running Cloudflow,5 (3),Código: 72736703,639.990,719.990,799.990,Cloudflow,On Running,3598207,Tenis,Mujer,Normal,Tela,Poliéster,Caucho,,,Toda temporada,,,,,,,,,
Tenis Asics para Mujer Running Novablast 3 Tr,4.9 (8),Código: 72758614,,,629.990,Novablast,Asics,1012B386-700,Tenis deportivos,Mujer,Normal,Sintético,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Under Armour para Hombre Running Surge 3 Camo | Tenis de Running para Hombre Color Negro,5 (1),Código: 72833485,,,269.990,Phade RN 2,Under Armour,3024891-400,Tenis,Mujer,Normal,Tela,Textil,Sintético,,,Toda temporada,,,,,,,,,
Tenis Under Armour Hombre Running Surge 3,4.7 (97),Código: 38281929,,,309.900,Surge 3,Under Armour,3024883-001,Tenis deportivos,Hombre,Normal,Sintético,Textil,Caucho,,,,,,Sí,,,,,,
Tenis Hoka Hombre Running Bondi 8,5 (5),Código: 67134447,719.990,809.990,899.990,Bondi 8,Hoka,1123202-IFBOB,Tenis deportivos,Hombre,Normal,Tela,Textil,Goma,,,Toda temporada,,,,,,,,,
Tenis On Running para Hombre Running Cloudflyer . Zapatillas On Running para hombre,(0),Código: 71728446,,,999.990,Cloudflyer,On Running,7198677,Tenis,Hombre,Normal,Sintético,,Sintético,,,Toda temporada,Textil,,,,,,,,
Tenis Skechers Comfyflex Ruzo para Niño Velcro,4.5 (2),Código: 72794560,,,139.900,,Skechers,407303N-BLOR,Tenis moda,Niño,Normal,Tela,,Goma,,,Toda temporada,Poliéster,,,,Velcro,,,,
Tenis Diadora para Hombre Moda Vinfa4,(0),Código: 883076004,,,199.990,Vinfa,Diadora,Vinfa4 Mu,Tenis moda,Hombre,Normal,Tela,Malla (nylon),Goma,,,Toda temporada,,,,,,,,,
Tenis moda Puma Future Rider Play On Mujer,4.1 (7),Código: 64279983,335.990,383.990,479.990,Future Rider Play On,Puma,371149 83,Tenis moda,Mujer,Normal,Sintético,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis moda Skechers Go Run Elevate Ciphe para Niño,(0),Código: 72882999,,,179.990,,Skechers,403983LBKRD,Tenis moda,Niño,Normal,Sintético,Poliéster,Goma,,,Toda temporada,,,,,Cordones,,,,
Tenis Asics para Mujer Padel Gel Padel Pro 5,4.8 (71),Código: 72806983,258.990,295.990,369.990,Gel Padel Pro 5,Asics,1042A200.701,Tenis,Mujer,Normal,Sintético,Poliéster,Caucho,,,Toda temporada,,,,,,,,,
Tenis Converse para Mujer Moda Chuck Taylor All Start Lift,(0),Código: 72870903,,,429.990,Chuck Taylor All Start Lift,Converse,A09114C,Tenis moda,Mujer,Normal,Tela,Poliéster,Caucho,Alta,,,,,,,,,,,
Tenis Adidas Running ResponseRunner | Zapatillas Adidas Running ResponseRunner,4.9 (25),Código: 72724969,,,199.990,ResponseRunner,Adidas,IG0741,Tenis,Hombre,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Reebok Hombre Cross training Flexagon Energy Tr 4,5 (21),Código: 72713976,,,249.900,Flexagon Energy Tr 4,Reebok,100033358,Tenis deportivos,Hombre,Normal,Tela,Sintético,Goma,,,Toda temporada,,,,,,,,,
Tenis New Balance para Hombre Moda 327,5 (9),Código: 72735712,413.690,472.790,590.990,327,New Balance,MS327CG,Tenis moda,Hombre,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Adidas para Mujer Running Switch,4.9 (142),Código: 72864246,,,299.990,Switch,Adidas,Id8332,Tenis,Mujer,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Sybilla para Mujer Moda Baskohigh,5 (1),Código: 883029211,,,139.990,Baskohigh,Sybilla,BASKOHIGH BL,Tenis moda,Mujer,Normal,Sintético,Sintético,Sintético,,,,,,,Bajo,,,,,
Guayos para niños Adidas Goletto VIII Terreno Firme,4.9 (76),Código: 72724221,,,199.950,,Adidas,GX7794,Guayos,Niño,Normal,Sintético,,Sintético,,,Toda temporada,Textil,,,,Cordones,,,,
Tenis Nike para Mujer Moda Blazer Low Platform,5 (10),Código: 42928486,,,649.990,Blazer,Nike,DJ0292-109-WHT,Tenis moda,Mujer,Normal,Cuero,Sintético,Caucho,,,Toda temporada,,,,,,,,,
Guayos Puma sin taches para cancha Sintética de Hombre Rapido Iii Tt,5 (2),Código: 72794234,,,329.900,Rapido Iii Tt,Puma,106574 08,Guayos,Hombre,Normal,Sintético,,Caucho,,,,Textil,,No,,,,,,
Tenis Puma para Mujer Cassia Via Charms Wns . Tenis de Moda Puma,4.9 (12),Código: 72716662,335.990,383.990,479.990,Cassia Via Charms Wns,Puma,390762 02,Tenis moda,Mujer,Normal,Sintético,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Reebok Hombre Cross training Nano X3,(0),Código: 70550126,,,539.990,Nano X3,Reebok,HP6046REEBO0601,Tenis deportivos,Hombre,Normal,Sintético,Textil,Goma,,,Toda temporada,,,,,,,,,
Tenis Reebok para Mujer Cross training Nanoflex Tr 2,5 (2),Código: 72771751,272.990,311.990,389.990,Nanoflex Tr 2,Reebok,100033774,Tenis,Mujer,Normal,Sintético,Sintético,Goma,,,Toda temporada,,,,,,,,,
Tenis Reebok Flexagon para Niña,5 (1),Código: 63118008,167.990,191.990,239.990,,Reebok,HP4807,Tenis moda,Niña,Normal,Tela,,Goma,,,Toda temporada,Textil,,,,Cordones,,,,
Tenis Reebok Classic para Niño,(0),Código: 72793527,139.890,159.890,199.900,,Reebok,100070190,Tenis moda,Niño,Normal,Cuero,Textil,Goma,,,Toda temporada,,,,,Cordones,,,,
