type,gender,last_type,material,brand,sole_material,lining_material,season,made_in,insole_material,Name,Rating,Code,CMR Price,Event Price,Full Price,discipline,interior_material
Tenis moda,Mujer,Normal,Cuero,Reebok,Goma,Sintético,Toda temporada,Vietnam,Sintético,['Tenis Reebok Mujer Moda Club C 85'],['4.8 (5)'],['Código: 72714001'],,,349.900,Lifestyle,
Zapatos casuales,Niño,Normal,Sintético,,Sintético (PU),Textil,,,,['Tenis Neywi Blanco-Azul O para Niño Los Gomosos'],['(0)'],['Código: 127062451'],,,119.900,,
Tenis moda,Mujer,Normal,Cuero,Reebok,Goma,Sintético,Toda temporada,Vietnam,Sintético,['Tenis Reebok Mujer Moda Club C 85'],['4.8 (5)'],['Código: 72791140'],,,349.900,Lifestyle,
Tenis,Mujer,Normal,Sintético,Reebok,Goma,Sintético,Toda temporada,China,Sintético,['Tenis Reebok para Mujer Cross training Flexagon Energy Tr 4'],['4.6 (14)'],['Código: 72832869'],209.990,,,Cross training,
,Mujer,,Textil,,,,,,,['Tenis Mujer adidas Lite Racer 3.0 - Blanco'],['4.2 (6)'],['Código: 119234238'],,,,Cross training,
Tenis,Mujer,Normal,Sintético,Skechers,Goma,Poliéster,Toda temporada,Vietnam,Sintético,['Tenis Skechers para Mujer Lifestyle Escapeplan Endlesspu'],['5 (5)'],['Código: 72806364'],251.990,287.990,359.990,Lifestyle,
,Niña,Normal,Sintético,,Pvc,Poliéster,,,,['Zapatos Acuáticos Niña Ecology Princesa Chanclas Playa Piscina'],['(0)'],['Código: 120772446'],,,,Outdoor,
Tenis moda,Mujer,Normal,Sintético,Sybilla,Sintético,Poliéster,Toda temporada,China,Textil,['Tenis Sybilla para Mujer Moda Begu'],['4.4 (68)'],['Código: 882873159'],,,129.990,,
Zapatos casuales,Niño,Normal,Sintético,,Sintético (PU),Textil,,,,['Tenis Neywi Blanco-Azul O para Niño Los Gomosos'],['(0)'],['Código: 127062451'],,,119.900,,
Tenis,Mujer,Normal,Tela,Hoka,Goma,Textil,Toda temporada,Vietnam,Textil,['Tenis Hoka para Mujer Running Clifton 9'],['(0)'],['Código: 72783173'],,,799.990,Running,
Tenis con luces,Niño,Normal,Sintético,Skechers,Goma,,Toda temporada,Indonesia,,['Tenis Skechers con Comfyflex Minitrainer para Niño Velcro'],['4.9 (20)'],['Código: 47607928'],,,189.900,,Poliéster
,Mujer,,Textil,,,,,,,['Tenis Mujer Skechers Summits - Gris-Aguamarina'],['5 (1)'],['Código: 127323778'],,,,Running,
Tenis moda,Mujer,Normal,Sintético,ALDO,Goma,Poliéster,Toda temporada,China,,['Tenis Moda Aldo Mujer Blanco Phiobe'],['3.2 (5)'],['Código: 61899990'],,,,,
Tenis deportivos,Hombre,Normal,Sintético,Asics,Caucho,Textil,Toda temporada,Camboya,Poliéster,['Tenis Asics para Hombre Running Patriot 13'],['5 (1)'],['Código: 71278842'],249.990,,,Running,
Tenis,Mujer,Normal,Tela,Puma,Caucho,Textil,Toda temporada,Vietnam,Textil,['Tenis Puma para Mujer Cross Training Infusion Wns'],['4.4 (7)'],['Código: 72716642'],,,449.990,Cross training,
Tenis moda,Niño,,Sintético,Fila,Sintético,,Toda temporada,China,,['Tenis Fila Calgary Niño'],['4.6 (21)'],['Código: 67268047'],,,139.990,,Textil
,Hombre,,Sintético,,,,,,,['Tenis Hombre Nike Air Max Pulse'],['(0)'],['Código: 129129673'],,,,,
Tenis deportivos,Hombre,Normal,Tela,Adidas,Caucho,Textil,Toda temporada,China,Textil,['Tenis Adidas Hombre Running Ultraboost Light'],['4.8 (747)'],['Código: 72712411'],599.990,699.990,999.950,Running,
Tenis deportivos,Hombre,Normal,Tela,Reebok,Goma,Sintético,Toda temporada,Vietnam,Sintético,['Tenis Reebok Hombre Cross training Flexagon Energy Tr 4'],['5 (21)'],['Código: 72713976'],209.990,,,Cross training,
Tenis deportivos,Mujer,Normal,Sintético,Asics,Sintético,Sintético,Toda temporada,Vietnam,,['Tenis Asics Mujer Running Noosa Tri 14'],['4.7 (10)'],['Código: 63814633'],,,,Running,
,Mujer,Normal,Textil,,Sintético (PU),Textil,,,,['Tenis Tellenzi Dama 007 Blanco'],['3.3 (15)'],['Código: 121185914'],,,,,
,Hombre,,Sintético,,Goma,,,,,['Guayos Nike Superfly 9 Club Fg/Mg-Amarillo Suave'],['(0)'],['Código: 128256913'],,,414.990,Fútbol,
Tenis moda,Mujer,Normal,Tela,Converse,Caucho,Textil,Toda temporada,Vietnam,,['Tenis Moda Converse Chuck Taylor All Star Lift Mujer'],['4.7 (9)'],['Código: 16813212'],,,399.990,,
,Mujer,Normal,Sintético,,Pvc,Algodón,,,,['Tenis Deportivo Mujer Zapatilla Deportiva Dama'],['4.2 (26)'],['Código: 124316610'],,,,Lifestyle,
,Hombre,,Textil,,,,,,,['Tenis Hombre Reebok Court Advance - Blanco'],['5 (2)'],['Código: 121630882'],,,,,
Tenis,Hombre,Normal,Sintético,Adidas,Caucho,Textil,Toda temporada,Indonesia,,['Tenis Adidas para Hombre Moda Coreracer'],['4.6 (1067)'],['Código: 10715245'],199.990,,,Lifestyle,
Tenis moda,Mujer,Normal,Sintético,ALDO,Goma,Poliéster,Toda temporada,China,Poliéster,['Tenis Disney Aldo para Mujer Moda Sneaker'],['(0)'],['Código: 69352720'],,,,,
Tenis moda,Mujer,Normal,Sintético,Fila,Sintético,Textil,Toda temporada,China,Textil,['Tenis Fila Mujer Moda Raptor'],['4.9 (8)'],['Código: 64679192'],,,,,
,Hombre,Normal,Sintético,,Caucho,Cuero,,,,['Tenis Puma Palermo para Hombre'],['(0)'],['Código: 129323088'],,,490.000,,
Tenis moda,Unisex,Normal,Sintético,Adidas,Caucho,Textil,Toda temporada,Indonesia,Textil,['Tenis Adidas Vl Court 3.0 K Unisex Infantil'],['(0)'],['Código: 72882029'],191.990,223.990,319.950,,
Zapatos casuales,Niño,Normal,Sintético,,,,,,,['Tenis Gred Blanco para niño Los Gomosos'],['(0)'],['Código: 119314758'],,,,,
Tenis,Mujer,Normal,Tela,Hoka,Goma,Textil,Toda temporada,Vietnam,Textil,['Tenis Hoka para Mujer Running Clifton 9'],['(0)'],['Código: 72783183'],,,799.990,Running,
Tenis moda,Hombre,Normal,Cuero,Puma,Caucho,Textil,Toda temporada,China,Textil,['Tenis Puma para Hombre Moda Suede Classic XXI'],['4.3 (4)'],['Código: 68717691'],342.890,391.890,489.900,,
Tenis moda,Mujer,Normal,Cuero,Reebok,Goma,Sintético,Toda temporada,China,Sintético,['Tenis Reebok Mujer Moda Reebok Royal Complete'],['4.7 (281)'],['Código: 72714094'],,,249.900,Lifestyle,
Tenis moda,Hombre,Normal,Cuero,Japan S,Goma,Poliéster,Toda temporada,Indonesia,Poliéster,['Tenis Asics Japan S para Hombre Moda'],['(0)'],['Código: 72806956'],289.990,,,,
Tenis moda,Hombre,Normal,Sintético,New Balance,Caucho,Textil,Toda temporada,Vietnam,Textil,['Tenis New Balance 500 para Hombre'],['4.7 (9)'],['Código: 69639239'],279.990,,,,
,Mujer,,Cuero,,,,,,,['Tenis Lifestyle adidas Advantage Base - Blanco'],['(0)'],['Código: 118465918'],,,,Cross training,
Tenis deportivos,Hombre,Normal,Sintético,Reebok,Goma,Textil,Toda temporada,Vietnam,Textil,['Tenis Reebok Hombre Cross training Nano X3'],['(0)'],['Código: 70550126'],,,539.990,Cross training,
Tenis deportivos,Mujer,Normal,Tela,Reebok,Sintético,,Toda temporada,China,,['Tenis Deportivos Reebok para Mujer de Running Energen Lux'],['4.9 (24)'],['Código: 72790830'],,,219.990,Running,Textil
Tenis deportivos,Mujer,Normal,Tela,Reebok,Sintético,,Toda temporada,China,,['Tenis Deportivos Reebok para Mujer de Running Energen Lux'],['4.6 (8)'],['Código: 72816459'],,,219.990,Running,Textil
Tenis deportivos,Mujer,Normal,Tela,Adidas,Caucho,Textil,Toda temporada,Vietnam,Textil,['Tenis Adidas Mujer Cross training Dropset 2'],['5 (3)'],['Código: 69678623'],,,,Cross training,
,Hombre,,Cuero,,Goma,,,,,['Tenis New Balance 327-Azul Navy'],['5 (2)'],['Código: 126747323'],,,,Outdoor,
Tenis deportivos,Hombre,Normal,Tela,Adidas,Caucho,Textil,Toda temporada,Indonesia,Textil,['Tenis Adidas Hombre Running Duramo Speed M'],['4.8 (226)'],['Código: 72712477'],323.990,377.990,539.950,Running,
,Hombre,Normal,Cuero,,Goma,Textil,,,,['Zapatilla Hombre Lacoste Lineset 46SMA0045 Negro'],['(0)'],['Código: 127846940'],,,,,
Tenis moda,Unisex,Normal,Tela,Adidas,Caucho,Textil,Toda temporada,Vietnam,Textil,['Tenis Adidas Advantage Court Infantil Unisex'],['5 (3)'],['Código: 72833250'],173.990,202.990,289.950,,
,Mujer,Normal,Textil,,Caucho,Textil,,,,['Tenis Mujer Adidas Galaxy 6 - Gris'],['5 (3)'],['Código: 118461094'],,,,Running,
,Hombre,,Textil,,,,,,,['Tenis Hombre adidas Lite Racer Reblod - Azul - Blanco'],['5 (2)'],['Código: 119237361'],254.709,279.900,350.900,Running,
Tenis moda,Niña,Normal,Sintético,Skechers,Caucho,Poliéster,Toda temporada,China,Poliéster,['Tenis Moda Skechers Unogen1 Frostykicks para Niña'],['5 (1)'],['Código: 72838747'],,,249.900,,
Tenis deportivos,Mujer,Normal,Tela,Adidas,Caucho,Textil,Toda temporada,Indonesia,Textil,['Tenis Adidas Mujer Outdoor Terrex Eastrail 2 W'],['4.5 (174)'],['Código: 72712244'],323.990,377.990,539.990,Outdoor,
Tenis deportivos,Mujer,Normal,Tela,Asics,Caucho,Textil,Toda temporada,Camboya,Poliéster,['Tenis Asics para Mujer Running Gel-Contend 8 Ne0'],['4.6 (110)'],['Código: 72782887'],,,349.990,Running,
Tenis deportivos,Mujer,Normal,Tela,Asics,Caucho,Textil,Toda temporada,Camboya,Poliéster,['Tenis Asics para Mujer Running Gel-Contend 8 Rs0'],['(0)'],['Código: 72782891'],289.990,,,Running,
Tenis moda,Niño,Normal,Sintético,Skechers,Goma,Poliéster,Toda temporada,China,Poliéster,['Tenis Moda Skechers Sportcourt92 para Niño Velcro'],['5 (1)'],['Código: 72838573'],,,219.900,,
Tenis deportivos,Mujer,Normal,Tela,Nike,Caucho,Textil,Toda temporada,Vietnam,Textil,['Tenis Nike Mujer Running Quest 5'],['4.7 (91)'],['Código: 61580209'],,,419.950,Running,
Tenis moda,Mujer,Normal,Cuero,Nike,Caucho,Sintético,Toda temporada,Vietnam,Textil,['Tenis Nike Mujer Moda Air Max Excee'],['5 (1)'],['Código: 69405881'],472.490,539.990,674.990,,
,Hombre,,Textil,,,,,,,['Tenis Hombre Reebok Runner 4.0 - Negro'],['(0)'],['Código: 118455423'],,,,Running,
Tenis moda,Hombre,Normal,Cuero,Nike,Goma,Poliéster,Toda temporada,Vietnam,Poliéster,['Tenis Nike para Hombre Moda Sb Force58'],['5 (2)'],['Código: 72875553'],,,414.990,Lifestyle,
Zapatos casuales,Niño,Normal,Sintético,,,,,,,['Tenis con luces Goliet Negro para niño Los Gomosos'],['(0)'],['Código: 119315874'],,,,,
Tenis moda,Unisex,Normal,Sintético,Reebok,Goma,Poliéster,Toda temporada,Vietnam,Poliéster,['Tenis Reebok Classic Harry Potter Unisex | Tenis Harry Potter Reebok Gryffindor'],['4.2 (5)'],['Código: 72870153'],289.990,,,,
Zapatos casuales,Niño,Normal,Sintético,,Sintético (PU),Textil,,,,['Tenis Neywi Blanco-Azul O para Niño Los Gomosos'],['(0)'],['Código: 127062451'],,,119.900,,
Tenis,Mujer,Normal,Tela,Hoka,Goma,Textil,Toda temporada,Vietnam,Textil,['Tenis Hoka para Mujer Running Clifton 9'],['(0)'],['Código: 72783173'],,,799.990,Running,
Tenis moda,Mujer,Normal,Sintético,Adidas Originals,Caucho,Textil,Toda temporada,Indonesia,Textil,['Tenis Adidas Originals para Mujer Moda Superstar'],['5 (2)'],['Código: 72781164'],359.990,419.990,599.950,,
Tenis moda,Unisex,Normal,Tela,Diadora,Sintético,Poliéster,Toda temporada,China,Poliéster,['Tenis Diadora Esportne Unisex para Niños con Velcro | Tenis Colegiales Diadora Negros'],['4.7 (3)'],['Código: 883020560'],99.990,,,,
Guayos,Hombre,Normal,Sintético,Kappa,Sintético,Textil,Toda temporada,Brasil,,"['Guayos Kappa Para Cancha Sintética - Zapatilla De Fútbol Con Con Taches, Color Amarillo De Hombre Con Cordones']",['5 (3)'],['Código: 53483871'],,,,Fútbol,
,Niña,Normal,Textil,,Sintético (PU),Textil,,,,['Tenis Borki Azul Osc para niña Croydon'],['5 (1)'],['Código: 119385892'],,,,Indoor,
Zapatos casuales,Niño,Normal,Sintético,,,,,,,['Tenis Gred Blanco para niño Los Gomosos'],['(0)'],['Código: 119314758'],,,,,
Tenis,Mujer,Normal,Tela,Hoka,Goma,Textil,Toda temporada,Vietnam,Textil,['Tenis Hoka para Mujer Running Clifton 9'],['(0)'],['Código: 72783183'],,,799.990,Running,
Tenis moda,Hombre,Normal,Tela,On Running,Caucho,Poliéster,Toda temporada,Vietnam,Poliéster,['Tenis On Running para Hombre Cross training Cloud 5'],['(0)'],['Código: 72736521'],,,799.990,,
Tenis moda,Mujer,Normal,Tela,Converse,Caucho,Poliéster,Toda temporada,Vietnam,Poliéster,['Tenis Converse para Mujer Moda Chuck Taylor All Start Lift'],['5 (1)'],['Código: 72870903'],,,429.990,Lifestyle,
Tenis deportivos,Hombre,Normal,Sintético,Asics,Caucho,Sintético,Toda temporada,Camboya,Sintético,['Tenis Asics Hombre Running Patriot 13'],['4.8 (19)'],['Código: 72708594'],249.990,,,Running,
Tenis moda,Mujer,Normal,Cuero,Adidas Originals,Caucho,Textil,Toda temporada,Vietnam,Textil,['Tenis Adidas Originals Mujer Moda Gazelle Bold W'],['5 (2)'],['Código: 72712261'],,,649.950,,
Tenis deportivos,Mujer,Normal,Sintético,Asics,Caucho,Textil,Toda temporada,Vietnam,Poliéster,['Tenis Asics para Mujer Running Novablast 3 Tr'],['4.9 (8)'],['Código: 72758614'],,,629.990,Running,
Tenis moda,Niña,Normal,Tela,Skechers,Goma,Poliéster,Toda temporada,China,Poliéster,['Tenis Skechers Wavy Lites Blissf para Niña cierre de Velcro'],['(0)'],['Código: 72821925'],,,144.990,,
,Hombre,,,,,,,,,['Tenis Hombre Jordan Jordan Series Es - Negro'],['(0)'],['Código: 129129639'],,,,Básquetbol,
,Mujer,Normal,Textil,,Caucho,Textil,,,,['Tenis Mujer Reebok Lite Plus 3 - Negro - Blanco'],['4.8 (4)'],['Código: 119237353'],,,,Running,
Tenis moda,Mujer,Normal,Sintético,Skechers,Goma,Poliéster,Toda temporada,Vietnam,,['Tenis Skechers Slip In Mujer Manos Libres | Zapatos Skechers Dama | Tenis azul cómodos Skechers para mujer | Zapatillas moda Ultraflex 3 |0'],['5 (23)'],['Código: 64281410'],258.890,295.890,369.900,,
Zapatos casuales,Niño,Normal,Sintético,,,,,,,['Tenis con luces Goliet Negro para niño Los Gomosos'],['(0)'],['Código: 119315874'],,,,,
Guayos,Hombre,Normal,Sintético,Puma,Caucho,,Toda temporada,China,Textil,['Guayos Puma sin taches para cancha Sintética de Hombre Rapido Iii Tt'],['5 (2)'],['Código: 72794234'],,,329.900,Fútbol,Textil
Guayos,Unisex,Normal,Sintético,Diadora,Caucho,Poliéster,Toda temporada,China,Poliéster,['Guayos Diadora Futsokt Unisex'],['5 (3)'],['Código: 883001555'],,,149.990,,
Tenis deportivos,Mujer,Normal,Cuero,Adidas,Caucho,,Toda temporada,Vietnam,Sintético,['Tenis Adidas Mujer para jugar tenis Breaknet 2.0'],['4.9 (114)'],['Código: 69678742'],299.990,,,Tenis,Sintético
Tenis moda,Hombre,Normal,Sintético,New Balance,Caucho,Textil,Toda temporada,China,Textil,['Tenis New Balance para Hombre Moda 580'],['5 (2)'],['Código: 72735767'],,,929.990,,
Tenis moda,Hombre,Normal,Sintético,Asics,Caucho,Poliéster,Toda temporada,Brasil,Poliéster,['Tenis Asics Hombre Moda Japan S'],['4.8 (81)'],['Código: 69745032'],289.990,,,,
Tenis moda,Mujer,Normal,Sintético,ALDO,Sintético,Sintético,Toda temporada,China,,['Tenis Aldo Mujer Moda Dilathielle'],['4.3 (66)'],['Código: 24709874'],,,,,
Tenis moda,Mujer,Normal,Sintético,Call It Spring,Goma,Poliéster,Toda temporada,China,Poliéster,['Tenis Call It Spring para Mujer Moda Fresh'],['5 (1)'],['Código: 34169808'],125.990,,,Lifestyle,
Tenis,Hombre,Normal,Tela,Adidas,Caucho,Textil,Toda temporada,Vietnam,Textil,['Tenis Adidas para Hombre Moda Tenis Breaknet 2.0'],['4.4 (30)'],['Código: 72094244'],289.990,,,Lifestyle,
,Hombre,Normal,Textil,,Caucho,Malla (nylon),,,,['Asics Gel-Contend 8 Tenis gris de hombre para correr'],['(0)'],['Código: 129235430'],,,329.950,Running,
Tenis moda,Hombre,Normal,Sintético,Nike,Caucho,Sintético,Toda temporada,Vietnam,Sintético,['Tenis Nike Hombre Moda Air Max Systm'],['4.9 (15)'],['Código: 56488720'],,,699.990,Lifestyle,
Zapatos casuales,Niño,Normal,Sintético,,,,,,,['Tenis con luces Goliet Negro para niño Los Gomosos'],['(0)'],['Código: 119315874'],,,,,
Tenis moda,Unisex,Normal,Sintético,Reebok,Goma,Poliéster,Toda temporada,Vietnam,Poliéster,['Tenis Reebok Classic Harry Potter Unisex | Tenis Harry Potter Reebok Gryffindor'],['4.2 (5)'],['Código: 72870153'],289.990,,,,
Tenis moda,Mujer,Normal,Sintético,New Balance,Caucho,Textil,Toda temporada,China,Textil,['Tenis New Balance para Mujer Moda 574'],['5 (2)'],['Código: 72735827'],464.790,531.190,663.990,,
Tenis moda,Hombre,Normal,Sintético,Puma,Caucho,Textil,Toda temporada,Vietnam,,['Tenis moda Puma Future Rider Play On para Hombre'],['4.5 (10)'],['Código: 64280007'],391.890,447.890,559.900,,
Tenis moda,Hombre,Normal,Sintético,On Running,Caucho,Textil,Toda temporada,Vietnam,Sintético,['Tenis On Running Hombre Moda Cloud 5'],['5 (3)'],['Código: 72737596'],,,799.990,,
Tenis moda,Mujer,Normal,Sintético,Diadora,Sintético,Sintético,Toda temporada,China,Sintético,['Tenis Diadora para Mujer Lifestyle Bamtela | Tenis de moda para mujer Diadora'],['4.6 (25)'],['Código: 882886045'],,,249.990,,
Tenis deportivos,Hombre,Normal,Sintético,On Running,Caucho,Textil,Toda temporada,Vietnam,,['Tenis On Running Hombre Running Cloud X 3'],['5 (1)'],['Código: 48607735'],,,899.990,Running,
,Hombre,Normal,Sintético,,Sintético (PU),Sintético,,,,['Zapato Outdoor Tellenzi Hombre 2306 Arena*Negro'],['5 (2)'],['Código: 121542535'],,,,,
,Hombre,Pequeña,Gamuza,,Goma,Textil,,,,['Tenis Puma Suede Triplex Para Hombre'],['(0)'],['Código: 118027904'],,,,,
,Mujer,,Textil,,,,,,,['Tenis Mujer Adidas Galaxy 6 - Gris'],['(0)'],['Código: 118464697'],232.869,255.900,341.900,Running,
Tenis deportivos,Mujer,Normal,Tela,Adidas,Caucho,Textil,Toda temporada,Indonesia,Textil,['Tenis Adidas Mujer Running Duramo Sl W'],['4.8 (210)'],['Código: 72712600'],,,349.950,Running,
Tenis,Mujer,Normal,Sintético,Fratta,Goma,Poliéster,Toda temporada,China,Poliéster,['Tenis Fratta para Hombre Running Soma'],['4.3 (21)'],['Código: 882877832'],,,129.990,Running,
,Hombre,Normal,Textil,,Caucho,Textil,,,,['Tenis Hombre Reebok Club C 85 - Blanco'],['4.5 (2)'],['Código: 121231699'],,,,,
Tenis moda,Hombre,Normal,Sintético,adidas,Caucho,Textil,Toda temporada,Vietnam,,['Tenis Adidas para Hombre Moda Breaknet 2.0'],['4.7 (520)'],['Código: 61123484'],289.990,,,Lifestyle,
Tenis deportivos,Mujer,Normal,Tela,Adidas,Sintético,,Toda temporada,Indonesia,Textil,['Tenis Adidas Mujer Running Galaxy 6'],['4.7 (1076)'],['Código: 69955366'],,,339.990,Running,Textil
,Mujer,Normal,Cuero,,Caucho,Cuero,,,,['Tenis Mujer Adidas Hoops 3.0 - Blanco-Negro'],['3 (2)'],['Código: 118460797'],,,,,
Tenis,Mujer,Normal,Tela,Under Armour,Sintético,Textil,Toda temporada,Vietnam,Textil,['Tenis Under Armour para Hombre Running Surge 3 Camo | Tenis de Running para Hombre Color Negro'],['5 (1)'],['Código: 72833485'],,,269.990,Running,
Tenis moda,Mujer,Normal,Sintético,Skechers,Goma,Poliéster,Toda temporada,China,,['Tenis Moda Skechers Mujer Negro Skech Air Dynamight'],['4.3 (6)'],['Código: 22338329'],,,239.900,Lifestyle,
Tenis con luces,Niña,Normal,Sintético,Skechers,Goma,,Toda temporada,China,Sintético,['Tenis con luces Skechers Heart Lights Niña Velcro'],['4.5 (12)'],['Código: 23422334'],,,229.900,,Poliéster
Tenis moda,Niña,Normal,Sintético,Diadora,Caucho,Malla (nylon),Toda temporada,China,Malla (Nylon),['Tenis moda Diadora Girl Bamtela para Niña Velcro'],['(0)'],['Código: 883031232'],99.990,,,,
Tenis deportivos,Mujer,Normal,Tela,On Running,Caucho,Textil,Toda temporada,Vietnam,Textil,['Tenis On Running para Mujer Running Cloudrunner | Zapatillas On Running deportivas para Mujer color Blanco'],['(0)'],['Código: 72883490'],,,899.990,Running,
Tenis moda,Hombre,Normal,Sintético,Skechers,Caucho,Poliéster,Toda temporada,Vietnam,Poliéster,['Tenis Skechers para Hombre Moda Crossbar Cohasset | Zapatillas Skechers para Hombre Mid Cross'],['3 (1)'],['Código: 72808307'],,,359.990,,
Zapatos casuales,Mujer,,Sintético,,,,,,,['Tenis speed retro jogger para mujer la gear 190626 blanco'],['4.6 (5)'],['Código: 123546137'],,,,Tenis,
Tenis,Mujer,Normal,Sintético,Fratta,Goma,Poliéster,Toda temporada,China,Poliéster,['Tenis Fratta para Mujer Running Idastrap'],['4.5 (4)'],['Código: 883014788'],,,149.990,Running,
,Mujer,,Cuero,,Goma,,,,,['Tenis New Balance 515 Mujer-Gris Claro'],['5 (2)'],['Código: 128359486'],327.591,,,Outdoor,
,Hombre,,Sintético,,Pvc,,,,,['Zapatos Deportivos Para Hombre Cross Trekkers Payless Gris Oscuro'],['3 (2)'],['Código: 126918757'],,,,Tenis,
Tenis moda,Niño,Normal,Sintético,Asics,Caucho,Poliéster,Toda temporada,Camboya,Poliéster,['Tenis Asics Gel Resolution 9 para Niño | Zapatillas Asics Gel Resolution 9 para Niño'],['5 (2)'],['Código: 72835913'],,,369.990,,
,,Normal,Sintético,,,,,,,['Tenis patines con luces Dogty Gris-Rojo para niño Los Gomosos'],['(0)'],['Código: 119316173'],,,,,
Tenis moda,Niño,Normal,Sintético,Asics,Caucho,Poliéster,Toda temporada,Camboya,Poliéster,['Tenis Asics Gel Resolution 9 para Niño | Zapatillas Asics Gel Resolution 9 para Niño'],['5 (2)'],['Código: 72835913'],,,369.990,,
,,Normal,Sintético,,,,,,,['Tenis patines con luces Dogty Gris-Rojo para niño Los Gomosos'],['(0)'],['Código: 119316173'],,,,,
Zapatos casuales,Niño,Normal,Textil,,,,,,,['Tenis con luces Teuri Negro-Gris para niño Los Gomosos'],['3.7 (3)'],['Código: 119317382'],,,,,
Guayos,Hombre,Normal,Sintético,Adidas,Caucho,Textil,Toda temporada,Indonesia,Textil,"['Guayos Adidas Predator Accuracy.4 Para Cancha Sintetica - Suela Con Torretines. Zapatilla De Fútbol Con Taches De Caucho,  Color Blanco De Hombre Con Cordones']",['4.7 (142)'],['Código: 69678533'],,,339.950,Fútbol,
Tenis deportivos,Hombre,Normal,Tela,New Balance,Caucho,Textil,Toda temporada,Vietnam,Textil,['Tenis New Balance Hombre Running 411'],['4.8 (8)'],['Código: 69639283'],199.990,,,Running,
Tenis moda,Mujer,Normal,Cuero,Adidas,Caucho,Textil,Toda temporada,Indonesia,Textil,['Tenis Adidas para Mujer Moda Gazelle'],['(0)'],['Código: 72905192'],,,649.990,Lifestyle,
Tenis,Hombre,Normal,Tela,Under Armour,Sintético,Textil,Toda temporada,Vietnam,Textil,['Tenis Under Armour para Mujer Running Essential | Zapatillas Under Armour Essential'],['4.9 (9)'],['Código: 72763344'],229.990,,,Running,
Tenis moda,Niño,Normal,Sintético,Skechers,Goma,Poliéster,Toda temporada,China,Poliéster,['Tenis moda Skechers Bounder Rozerg para Niño'],['(0)'],['Código: 72882967'],,,179.990,,
Tenis moda,Niño,Normal,Sintético,Skechers,Goma,,Toda temporada,China,Sintético,['Tenis Skechers Bounder Niño'],['4.6 (5)'],['Código: 66150325'],,,169.900,,Poliéster
Tenis moda,Niña,Normal,Sintético,Skechers,Goma,Poliéster,Toda temporada,China,Poliéster,['Tenis Moda Skechers Gorun650 Fierceflash para Niña Velcro'],['4.5 (2)'],['Código: 72838492'],,,159.900,,
,Hombre,Normal,Cuero,,Goma,Textil,,,,['Zapatilla Hombre Lacoste Court Master 40CMA0014 Blanco'],['(0)'],['Código: 127909162'],,,,,
Tenis moda,Hombre,Normal,Tela,On Running,Caucho,Poliéster,Toda temporada,Vietnam,Poliéster,['Tenis On Running para Hombre Cross training Cloudnova Form'],['(0)'],['Código: 72736479'],,,899.990,,
Tenis moda,Hombre,Normal,Cuero,Veja,Caucho,,Toda temporada,Brasil,Textil,['Tenis Veja para Hombre Moda Campo'],['5 (2)'],['Código: 72783335'],,,,,Poliéster
Tenis deportivos,Mujer,Normal,Sintético,Diadora,Goma,,Toda temporada,Vietnam,Sintético,['Tenis Diadora para Mujer Running Snipe | Zapatillas para mujer Diadora'],['(0)'],['Código: 882861117'],131.990,153.990,219.990,Running,Sintético
Tenis moda,Hombre,Normal,Sintético,Bearcliff,Goma,Poliéster,Toda temporada,China,Poliéster,['Tenis Bearcliff para Hombre Moda Askar'],['4.7 (7)'],['Código: 882814539'],,,,,
Tenis moda,Mujer,Normal,Sintético,Call It Spring,Goma,Poliéster,Toda temporada,China,Poliéster,['Tenis Call It Spring Mujer Moda Breezey'],['4.5 (2)'],['Código: 70706327'],125.990,146.990,209.990,,
Tenis moda,Mujer,Normal,Sintético,Skechers,Goma,Poliéster,Toda temporada,China,Poliéster,['Tenis Skechers para Mujer Moda Skech Air Dynamight Daily Gri'],['5 (3)'],['Código: 72820738'],188.990,215.990,269.990,,
,Niño,,Sintético,,Goma,,,,,['Guayos Nike Jr Vapor 15 Club Fg/Mg Niños-Amarillo Suave'],['(0)'],['Código: 128256825'],,,289.990,Fútbol,
Tenis moda,Mujer,Normal,Sintético,Aldo,Sintético,Poliéster,Toda temporada,China,Poliéster,['Tenis Aldo para Mujer Moda Gwiri'],['5 (3)'],['Código: 72826562'],314.990,,,Lifestyle,
,Mujer,,Textil,,,,,,,['Tenis De Satén Reciclado Con Plataforma Mujer Blanco Calvin Klein'],['(0)'],['Código: 128103099'],,,,,
,Hombre,,Cuero,,,,,,,['Tenis Hombre Nike Air Max 90'],['(0)'],['Código: 129145100'],,,,,
,Hombre,Normal,Cuero,,Caucho,Cuero,,,,['Tenis Hombre adidas Vs Pace - Blanco-Negro'],['(0)'],['Código: 121209486'],193.739,212.900,284.900,,
,Mujer,,Cuero,,,,,,,['Tenis Mujer Reebok Court Advance Bold - Blanco'],['(0)'],['Código: 119441134'],,,,,
Tenis deportivos,Hombre,Normal,Tela,Adidas,Caucho,Textil,Toda temporada,China,Textil,['Tenis Adidas para Hombre Running Tenis Adidas Adizero Sl Running'],['4.8 (805)'],['Código: 72094107'],389.990,454.990,649.950,Running,
Tenis moda,Hombre,Normal,Tela,Under Armour,Caucho,Textil,Toda temporada,Vietnam,Textil,['Tenis Moda Under Armour Essential Hombre'],['4.7 (15)'],['Código: 42892671'],229.990,,,,
