brand,type,gender,last_type,material,lining_material,sole_material,season,made_in,insole_material,Name,Rating,Code,CMR Price,Event Price,Full Price,discipline,interior_material,CMR Discount,Event Discount
Puma,Tenis moda,Hombre,Normal,Sintético,,Caucho,Toda temporada,China,Textil,Tenis Puma para Hombre Moda Roma Country Pack,5.0,Código: 68717742,321889.99999999994,367890.0,459900.0,,Textil,30.01,20.01
Fratta,Tenis,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis Fratta para Hombre Running Soma,4.3,Código: 882877832,77990.0,90990.0,129990.0,Running,,40.0,30.0
Nike,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Vietnam,Textil,Tenis Nike Mujer Running Quest 5,4.7,Código: 61580209,,,419950.0,Running,,,
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,,Tenis Skechers Mujer - Zapatos Skechers Dama. Tenis cómodos negro Skechers para mujer. Zapatillas moda Skech-Airdynamight,4.9,Código: 53921836,,,,,,,
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Skech Litepro Lightr,4.9,Código: 72806327,,,279990.0,,,,
Hoka,Tenis,Mujer,Normal,Tela,Textil,Goma,Toda temporada,Vietnam,Textil,Tenis Hoka para Mujer Running Clifton 9,,Código: 72783178,559990.0,639990.0,799990.0,Running,,30.0,20.0
Puma,Guayos,Hombre,Normal,Sintético,,Sintético,Toda temporada,China,Textil,Guayos Puma con taches para Hombre Rapido Iii Fg/Ag,5.0,Código: 72794193,,,319900.0,Fútbol,Textil,,
Adidas,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,Tenis Adidas Mujer Running Supernova 3 W,5.0,Código: 72712444,,,599950.0,Running,,,
Adidas,Tenis,Hombre,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,Tenis Adidas para Hombre Basketball OwnTheGame,5.0,Código: 72738152,,,439950.0,Básquetbol,,,
Skechers,Tenis moda,Niño,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis Moda Skechers Sportcourt92 para Niño Velcro,5.0,Código: 72838573,,,219900.0,,,,
ALDO,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis Disney Aldo para Mujer Moda Sneaker,,Código: 69352720,,,,,,,
Mountain Gear,Tenis deportivos,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,,Tenis Mountain Gear Mujer Outdoor Annie3,4.6,Código: 882258779,119990.0,139990.0,199990.0,Outdoor,,40.0,30.0
Nike,Tenis deportivos,Hombre,Normal,Sintético,,Goma,Toda temporada,Vietnam,Poliéster,Guayos Nike para Hombre Vapor 15 Club Tf,5.0,Código: 72783680,,,359950.0,Fútbol,Poliéster,,
Puma,Tenis,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Vietnam,Textil,Tenis Puma para Mujer Cross Training Pwrframe Tr 2 Wns,5.0,Código: 72716605,461990.0,527990.0,659990.0,Cross training,,30.0,20.0
On Running,Tenis,Hombre,Normal,Sintético,,Sintético,Toda temporada,Vietnam,Textil,Tenis On Running para Hombre Running Cloudgo . Zapatillas On Running para hombre,5.0,Código: 71728575,719990.0,809990.0,899990.0,Running,Textil,20.0,10.0
Adidas,Tenis moda,Hombre,Normal,Cuero,Textil,Caucho,Toda temporada,Vietnam,Textil,Tenis Adidas Hombre Moda Adi2000,4.8,Código: 72712179,,,599990.0,,,,
New Balance,Tenis moda,Hombre,Normal,Sintético,Textil,Caucho,Toda temporada,China,Textil,Tenis New Balance para Hombre Moda 574,4.8,Código: 72735663,551590.0000000001,630390.0,787990.0,,,30.0,20.0
Basement,Tenis moda,Mujer,Normal,Sintético,Malla (nylon),Sintético,Toda temporada,China,Cuero,Tenis Basement para Mujer Moda Asambra,1.0,Código: 883013097,,,169990.0,Lifestyle,,,
Starter,Tenis moda,Hombre,Normal,Sintético,Sintético,Caucho,Toda temporada,China,,Tenis Moda Starter Thundersud Hombre,4.2,Código: 882760372,,,,,,,
Fratta,Guayos,Hombre,Normal,Sintético,,Caucho,Toda temporada,China,,Guayos Fratta Hombre Fútbol Huang6,,Código: 882691800,89990.0,104990.0,149990.0,Fútbol,Sintético,40.0,30.0
New Balance,Tenis moda,Hombre,Normal,Sintético,Textil,Caucho,Toda temporada,Vietnam,Textil,Tenis New Balance para Hombre Moda 550,4.5,Código: 72735438,510990.0,583990.0,729990.0,,,30.0,20.0
ALDO,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis Aldo Mujer Moda Etiene,5.0,Código: 53618738,,,,,,,
Adidas,Tenis,Hombre,Normal,Tela,,Caucho,Toda temporada,Indonesia,Textil,Tenis Adidas para Hombre Running AlphaEdge +,4.5,Código: 72781144,,,419950.0,Running,Textil,,
Diadora,Guayos,Hombre,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,Guayos Cancha Sintética para Hombre Diadora Pichid,4.5,Código: 882861284,119990.0,139990.0,199990.0,Fútbol,,40.0,30.0
Diadora,Tenis moda,Niño,Normal,Sintético,Malla (nylon),Caucho,Toda temporada,China,Malla (Nylon),Tenis moda Diadora Boy Bamtelo para Niño Velcro,5.0,Código: 883031513,,,119990.0,,,,
Puma,Tenis moda,Mujer,Normal,Sintético,Textil,Caucho,Toda temporada,Indonesia,,Tenis Puma para Mujer Moda Cali Star,4.7,Código: 28936201,398890.0,455890.0,569900.0,,,30.01,20.01
Asics,Tenis,Hombre,Normal,Sintético,Poliuretano,Caucho,Toda temporada,Indonesia,Poliuretano,Tenis Asics para Hombre Running Gel Cumulus 25,4.8,Código: 72806997,,,699990.0,Running,,,
Skechers,Tenis,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Sintético,Tenis Skechers para Mujer Lifestyle Escapeplan Endlesspu,5.0,Código: 72806364,,,359990.0,Lifestyle,,,
Veja,Tenis moda,Mujer,Normal,Cuero,,Goma,Toda temporada,Brasil,,Tenis moda Veja Recife Mujer,3.7,Código: 62677000,,,999990.0,,Sintético,,
Diadora,Tenis moda,Mujer,Normal,Sintético,Sintético,Goma,Toda temporada,China,,Tenis Diadora Mujer Moda Frego2,4.6,Código: 881814591,101990.0,118990.0,169990.0,Lifestyle,,40.0,30.0
Diadora,Tenis moda,Niño,,Sintético,,Sintético,Toda temporada,China,,Tenis Diadora Crego6 Niño Velcro,4.8,Código: 882663016,,,,,Sintético,,
Diadora,Tenis moda,Mujer,Normal,Sintético,Sintético,Sintético,Toda temporada,China,Sintético,Tenis Diadora para Mujer Lifestyle Bamtela | Tenis de moda para mujer Diadora,4.6,Código: 882886045,149990.0,174990.0,249990.0,,,40.0,30.0
Reebok,Tenis moda,Niño,Normal,Cuero,,Goma,Toda temporada,China,Textil,Tenis Reebok Xt Sprinter para Niño,5.0,Código: 63118086,167990.0,191990.0,239990.0,,Textil,30.0,20.0
adidas,Tenis moda,Mujer,Normal,Cuero,Sintético,Caucho,Toda temporada,Vietnam,,Tenis Adidas para Mujer Moda Breaknet 2.0,4.8,Código: 61123533,,,349950.0,Lifestyle,,,
Diadora,Guayos,Hombre,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,Guayos Cancha Sintética para Hombre Diadora Pichid,5.0,Código: 882861167,119990.0,139990.0,199990.0,Fútbol,,40.0,30.0
Nike,Tenis moda,Mujer,Normal,Cuero,Malla (nylon),Caucho,Toda temporada,Vietnam,Malla (Nylon),Tenis Nike para Mujer Moda W Af1 Plt.Af.Orm| Zapatillas Nike para Mujer Air Force 1,,Código: 72826032,535490.0,611990.0,764990.0,,,30.0,20.0
Nike,Tenis moda,Niño,Normal,Cuero,,Sintético,Toda temporada,Indonesia,Textil,Tenis Nike Flex Runner 2 Niño,4.9,Código: 69406380,195990.0,223990.0,279950.0,,Textil,29.99,19.99
Skechers,Tenis moda,Niña,Normal,Sintético,,Goma,Toda temporada,China,,Tenis Skechers ElectricJumps Niña,4.9,Código: 28599563,132889.99999999997,151889.99999999997,189900.0,,Poliéster,30.02,20.02
Puma,Tenis,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Vietnam,Textil,Tenis Puma para Mujer Cross Training Infusion Wns,4.4,Código: 72716642,,,449990.0,Cross training,,,
Reebok,Tenis moda,Hombre,Normal,Cuero,Sintético,Goma,Toda temporada,China,Sintético,Tenis Reebok Hombre Moda Reebok Royal Complete,4.5,Código: 72714103,,,249900.0,Lifestyle,,,
Diadora,Tenis moda,Hombre,Normal,Tela,Poliéster,Goma,Toda temporada,China,Textil,Tenis Diadora para Hombre Nextgen,4.4,Código: 882886784,,,179990.0,Lifestyle,,,
Diadora,Guayos,Hombre,Normal,Sintético,,Goma,Toda temporada,China,Poliéster,Guayos de Cancha Sintética para Hombre Diadora Pichid sin Taches,5.0,Código: 882861359,119990.0,139990.0,199990.0,Fútbol,Poliéster,40.0,30.0
On Running,Tenis deportivos,Hombre,Normal,Tela,Textil,Caucho,Toda temporada,Vietnam,Textil,Tenis Onrunning para Hombre Running Cloudmonster,,Código: 72901711,,,999990.0,Running,,,
Nike,Tenis moda,Mujer,Normal,Cuero,Poliéster,Caucho,Toda temporada,China,Poliéster,Tenis Nike para Mujer Moda W Af1 Shadow| Zapatillas Nike para Mujer Air Force 1,5.0,Código: 72826073,,,859950.0,,,,
Reebok,Tenis,Mujer,Normal,Sintético,Textil,Caucho,Toda temporada,Vietnam,Textil,Tenis Reebok para Mujer Lifestyle Princess | Zapatillas Reebok Mujer de moda color Negro,,Código: 72832809,174990.0,199990.0,249990.0,Lifestyle,,30.0,20.0
Asics,Tenis deportivos,Mujer,Normal,Sintético,Poliéster,Caucho,Toda temporada,Brasil,Poliéster,Tenis Asics Mujer Running Gel-Pulse 14,4.9,Código: 72713766,293990.0,335990.0,419990.0,Running,,30.0,20.0
Converse,Tenis moda,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Vietnam,,Tenis Moda Converse Chuck Taylor All Star Lift Mujer,4.6,Código: 16813212,,,399990.0,,,,
Adidas,Tenis moda,Niña,Normal,Sintético,Sintético,Caucho,Toda temporada,Indonesia,,Tenis adidas Advantage CF I Niña,4.7,Código: 39704071,188990.0,215990.0,269950.0,,,29.99,19.99
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Caucho,Toda temporada,China,Poliéster,Tenis Skechers para Mujer Moda Dlites Coolchange,5.0,Código: 72806429,,,349990.0,,,,
Asics,Tenis deportivos,Hombre,Normal,Sintético,Sintético,Sintético,Toda temporada,Vietnam,Textil,Tenis Asics Hombre Running Noosa Tri 14,4.8,Código: 67209874,,,599990.0,Running,,,
Diadora,Tenis moda,Hombre,Normal,Sintético,Malla (nylon),Caucho,Toda temporada,China,Malla (Nylon),Tenis Diadora para Hombre Moda James7,4.4,Código: 883015992,,,159990.0,Lifestyle,,,
Skechers,Tenis moda,Niño,Normal,Sintético,,Goma,Toda temporada,China,Sintético,Tenis Skechers Bounder Niño,4.6,Código: 66150325,,,169900.0,,Poliéster,,
Bearcliff,Tenis moda,Hombre,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis Bearcliff para Hombre Moda Askar,4.7,Código: 882814539,,,139990.0,,,,
Diadora,Guayos,Hombre,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,Guayos Cancha Sintética para Hombre Diadora Pichid,4.8,Código: 882861159,119990.0,139990.0,199990.0,Fútbol,,40.0,30.0
Asics,Tenis moda,Hombre,Normal,Sintético,Poliéster,Caucho,Toda temporada,Brasil,Poliéster,Tenis Asics Hombre Moda Japan S,4.8,Código: 69745032,223990.0,255990.0,319990.0,,,30.0,20.0
Vans,Tenis moda,Unisex,Normal,Tela,Textil,Caucho,Toda temporada,China,Textil,Tenis Vans Unisex Moda Era,4.4,Código: 28053967,188990.0,215990.0,269990.0,,,30.0,20.0
Veja,Tenis moda,Hombre,Normal,Cuero,Textil,Caucho,Toda temporada,Brasil,,Tenis Moda Veja V-15 Extra Nautico Hombre,5.0,Código: 39524425,,,,,,,
Reebok,Tenis moda,Mujer,Normal,Sintético,Textil,Goma,Toda temporada,Vietnam,Textil,Tenis Reebok para Mujer Moda Court Ad,4.3,Código: 72816078,230889.99999999997,263889.99999999994,329900.0,,,30.01,20.01
Skechers,Tenis deportivos,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis Skechers Mujer Summits Cool Classic 149206LGLV,5.0,Código: 12489963,179990.0,199990.0,254900.0,,,29.39,21.54
Reebok,Tenis,Mujer,Normal,Tela,Textil,Goma,Toda temporada,China,Textil,Tenis Reebok para Mujer Running Zig Dynamica 4 | Tenis para Mujer de Running Color Azul,5.0,Código: 72815832,272889.99999999994,311889.99999999994,389900.0,Running,,30.01,20.01
Starter,Tenis moda,Hombre,Normal,Sintético,Malla (nylon),Caucho,Toda temporada,China,Malla (Nylon),Tenis Starter Hombre Moda PowerX,4.8,Código: 882814451,,,249990.0,,,,
Reebok,Tenis moda,Mujer,Normal,Cuero,Textil,Goma,Toda temporada,Vietnam,Textil,Tenis Reebok para Mujer Moda Classic,4.7,Código: 72815591,258990.0,295990.0,369990.0,,,30.0,20.0
Adidas,Tenis,Hombre,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,Tenis Adidas para Hombre Running Duramo RC,4.5,Código: 72750369,,,299990.0,Running,,,
Reebok,Tenis moda,Mujer,Normal,Sintético,Textil,Goma,Toda temporada,China,Textil,Tenis Reebok para Mujer Moda Glide Sp,5.0,Código: 72771721,,,339990.0,,,,
ALDO,Tenis moda,Mujer,Normal,Sintético,Sintético,Sintético,Toda temporada,China,,Tenis Aldo Mujer Moda Dilathielle,4.3,Código: 24709874,197990.0,230990.0,329990.0,,,40.0,30.0
Veja,Tenis moda,Hombre,Normal,Cuero,Sintético,Goma,Toda temporada,Brasil,,Tenis moda Veja Esplar Hombre,4.8,Código: 62677275,671990.0,755990.0,839990.0,,,20.0,10.0
Fratta,Tenis,Hombre,Normal,Tela,Malla (nylon),Sintético,Toda temporada,China,Malla (Nylon),Tenis Fratta para Hombre Running Tinmarita,5.0,Código: 883014506,83990.0,97990.0,139990.0,Running,,40.0,30.0
Nike,Tenis moda,Niña,Normal,Sintético,Sintético,Caucho,Toda temporada,Vietnam,Sintético,Tenis Nike Court Borough Low 2 para Niña Velcro,5.0,Código: 36549816,220490.0,251990.0,314990.0,Lifestyle,,30.0,20.0
Asics,Tenis deportivos,Mujer,Normal,Sintético,Poliéster,Caucho,Otoño-Invierno,Vietnam,Poliéster,Tenis Asics para Mujer Running Novablast 4,4.7,Código: 72902052,,,699990.0,Running,,,
Asics,Tenis deportivos,Hombre,Normal,Sintético,Textil,Caucho,Toda temporada,Camboya,Poliéster,Tenis Asics para Hombre Running Patriot 13,5.0,Código: 71278842,,,329990.0,Running,,,
On Running,Tenis,Hombre,Normal,Tela,Poliéster,Caucho,Toda temporada,Vietnam,Poliéster,Tenis On Running para Hombre Running Cloudmonster,5.0,Código: 72736678,,,999990.0,Running,,,
Diadora,Tenis moda,Niño,Normal,Sintético,Malla (nylon),Caucho,Toda temporada,China,Malla (Nylon),Tenis moda Diadora Boy Bamtelo para Niño Velcro,,Código: 883030906,,,119990.0,,,,
Adidas,Tenis deportivos,Unisex,Normal,Sintético,,Caucho,Toda temporada,Vietnam,Textil,Tenis Adidas para Niño Advantage,4.8,Código: 72751925,167990.0,191990.0,239950.0,,Textil,29.99,19.99
Nike,Tenis moda,Hombre,Normal,Cuero,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,Tenis Nike para Hombre Moda Sb Force58,5.0,Código: 72875553,,,414990.0,Lifestyle,,,
On Running,Tenis deportivos,Hombre,Normal,Sintético,Textil,Caucho,Toda temporada,Vietnam,,Tenis On Running Hombre Running Cloud X 3,5.0,Código: 48607735,719990.0,809990.0,899990.0,Running,,20.0,10.0
Diadora,Tenis deportivos,Mujer,Normal,Sintético,,Goma,Toda temporada,Vietnam,Sintético,Tenis Diadora para Mujer Running Snipe | Zapatillas para mujer Diadora,4.7,Código: 882861172,131990.0,153990.0,219990.0,Running,Sintético,40.0,30.0
Skechers,Tenis moda,Mujer,Normal,Sintético,,Goma,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Gorunelevate Hotstre,4.6,Código: 72791534,,,299990.0,,Poliéster,,
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,Tenis Skechers Slip In Mujer Manos Libres | Zapatos Skechers Dama | Tenis negro cómodos Skechers para mujer | Zapatillas moda Ultraflex 3 |0,4.7,Código: 69670218,221889.99999999997,258889.99999999997,369900.0,,,40.01,30.01
Puma,Tenis moda,Hombre,Normal,Cuero,Textil,Caucho,Toda temporada,China,Textil,Tenis Puma para Hombre Moda Suede Classic XXI,4.3,Código: 68717691,342890.0,391890.0,489900.0,,,30.01,20.01
Adidas,Tenis deportivos,Hombre,Normal,Sintético,Textil,Caucho,Toda temporada,Myanmar,,Tenis Adidas para Hombre Running Ultimashow,4.8,Código: 10843635,,,,Running,,,
ALDO,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,,Tenis Moda Aldo Mujer Blanco Phiobe,3.2,Código: 61899990,,,,,,,
adidas,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,China,,Tenis Adidas para Mujer Running Ultraboost Light,4.8,Código: 65698924,,,,Running,,,
New Balance,Tenis moda,Hombre,Normal,Cuero,Textil,Caucho,Toda temporada,China,Textil,Tenis New Balance para Hombre Moda 574,4.6,Código: 72802517,,,539990.0,,,,
Asics,Tenis deportivos,Mujer,Normal,Sintético,Poliuretano,Caucho,Toda temporada,Vietnam,Textil,Tenis Asics Mujer Running Noosa Tri 15,4.9,Código: 71282020,,,669990.0,Running,,,
Adidas,Tenis moda,Hombre,Normal,Tela,Textil,Caucho,Toda temporada,China,Textil,Tenis Adidas para Hombre Moda D-Pad,5.0,Código: 72889107,,,549990.0,Lifestyle,,,
Adidas,Tenis deportivos,Hombre,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,Tenis Adidas Hombre Running Response Runner U,4.8,Código: 71786769,,,199990.0,Running,,,
Reebok,Tenis moda,Unisex,Normal,Tela,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis Reebok Club C 85 Harry Potter Unisex | Tenis Harry Potter Reebok Hogwarts,,Código: 72870162,,,259990.0,,,,
PUMA,Tenis deportivos,Mujer,,Tela,,Caucho,Toda temporada,Vietnam,,Tenis Puma para Mujer Running Twitch Runner,5.0,Código: 47594798,237889.99999999997,271889.99999999994,339900.0,Running,Textil,30.01,20.01
Adidas,Tenis deportivos,Hombre,Normal,Tela,Textil,Caucho,Toda temporada,China,Textil,Tenis Adidas para Hombre Running Tenis Adidas Adizero Sl Running,4.8,Código: 72094107,,,649950.0,Running,,,
Puma,Tenis moda,Mujer,Normal,Sintético,Textil,Caucho,Toda temporada,China,Textil,Tenis Puma Mujer Moda X-Ray Speed Lite,,Código: 52325896,314990.0,359990.0,449990.0,Lifestyle,,30.0,20.0
Reebok,Tenis moda,Unisex,Normal,Tela,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis Reebok Club C 85 Harry Potter Unisex | Tenis Harry Potter Reebok Hogwarts,,Código: 72870167,,,299990.0,,,,
adidas,Tenis moda,Hombre,Normal,Cuero,,Caucho,Toda temporada,Indonesia,,Tenis adidas Hombre Moda Streetcheck,4.8,Código: 63085044,,,379950.0,,Textil,,
Diadora,Tenis,Hombre,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis Diadora para Hombre Running Eagle,5.0,Código: 882861314,119990.0,139990.0,199990.0,Running,,40.0,30.0
Diadora,Guayos,Hombre,Normal,Sintético,Textil,Caucho,Toda temporada,Italia,,"Guayos Diadora Para Cancha Sintética - Zapatilla De Fútbol Con Suela Lisa Y Sin Taches, Color Gris De Hombre Con Cordones",4.8,Código: 882530193,,,199990.0,Fútbol,,,
Skechers,Tenis moda,Hombre,Normal,Sintético,Poliéster,Caucho,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Hombre Moda Crossbar Cohasset | Zapatillas Skechers para Hombre Mid Cross,3.0,Código: 72808307,,,359990.0,,,,
Reebok,Sandalias,Hombre,Normal,Sintético,Textil,Sintético,Toda temporada,China,Sintético,Chanclas Reebok para Hombre Fulgere Slide . Chanclas Fulgere Slide Reebok,4.6,Código: 72713840,,,119900.0,,,,
Skechers,Tenis moda,Niña,Normal,Tela,Poliéster,Goma,Toda temporada,Indonesia,Poliéster,Tenis Skechers Dreamy Dancer Super Sw para Niña,5.0,Código: 72821972,111990.0,127990.0,159990.0,,,30.0,20.0
Hoka,Tenis deportivos,Hombre,Normal,Tela,Textil,Goma,Toda temporada,Vietnam,Textil,Tenis Hoka Hombre Running Clifton 9,4.9,Código: 67134498,639990.0,719990.0,799990.0,Running,,20.0,10.0
Japan S,Tenis moda,Hombre,Normal,Cuero,Poliéster,Goma,Toda temporada,Indonesia,Poliéster,Tenis Asics Japan S para Hombre Moda,,Código: 72806956,265990.0,303990.0,379990.0,,,30.0,20.0
Skechers,Tenis moda,Niña,Normal,Sintético,,Goma,Toda temporada,China,Poliéster,Tenis Skechers Microspec Brightretr para Niña Velcro,5.0,Código: 72761930,,,144900.0,,Poliéster,,
Adidas,Tenis,Hombre,Normal,Tela,Sintético,Caucho,Toda temporada,Indonesia,Sintético,Tenis Adidas para Hombre Moda Showtheway 2.0,4.7,Código: 38215420,,,,Lifestyle,,,
Veja,Tenis moda,Mujer,Normal,Cuero,,Caucho,Toda temporada,Brasil,,Tenis Moda Veja Esplar Logo Mujer,,Código: 39522911,,,999990.0,,Textil,,
Skechers,Tenis moda,Niña,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis Moda Skechers Gorun650 Fierceflash para Niña Velcro,4.5,Código: 72838492,,,159900.0,,,,
Veja,Tenis moda,Mujer,Normal,Sintético,Sintético,Goma,Toda temporada,Brasil,,Tenis moda Veja V-12 Mujer,5.0,Código: 62677167,799990.0,899990.0,999990.0,,,20.0,10.0
New Balance,Tenis moda,Mujer,Normal,Cuero,Sintético,Caucho,Toda temporada,Indonesia,Textil,Tenis New Balance Mujer Moda 997,5.0,Código: 69639207,413690.0,472790.00000000006,590990.0,,,30.0,20.0
Adidas,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,Tenis Adidas Mujer Outdoor Terrex Eastrail 2 W,4.5,Código: 72712244,377990.0,431990.0,539990.0,Outdoor,,30.0,20.0
Skechers,Tenis con luces,Niña,Normal,Sintético,,Goma,Toda temporada,China,Sintético,Tenis con luces Skechers Heart Lights Niña Velcro,4.5,Código: 23422334,160889.99999999997,183890.0,229900.0,,Poliéster,30.02,20.01
Nike,Tenis moda,Mujer,Normal,Cuero,Sintético,Caucho,Toda temporada,Vietnam,Textil,Tenis Nike Mujer Moda Air Max Excee,5.0,Código: 69405881,472490.0,539990.0,674990.0,,,30.0,20.0
Under Armour,Tenis,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Vietnam,Textil,Tenis Under Armour para Mujer Running Phade RN 2 | Tenis de Running para Mujer Color Rosado,,Código: 72804538,188990.0,215990.0,269990.0,Running,,30.0,20.0
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis Skechers para Mujer Moda Skech Air Dynamight Daily Gri,5.0,Código: 72820738,,,269990.0,,,,
Adidas,Tenis moda,Niña,Normal,Sintético,Sintético,Caucho,Toda temporada,Indonesia,,Tenis Adidas Grand Court 2.0 para Niña,4.8,Código: 39703331,202990.0,231990.0,289950.0,,,29.99,19.99
On Running,Tenis deportivos,Mujer,Normal,Sintético,Textil,Caucho,Toda temporada,Vietnam,,Tenis On Running Mujer Running Cloudflyer 4,5.0,Código: 48607756,799990.0,899990.0,999990.0,Running,,20.0,10.0
Skechers,Tenis moda,Mujer,Normal,Sintético,,Goma,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Glide Stepswift Slig,,Código: 72791638,233990.0,272990.0,389990.0,,Poliéster,40.0,30.0
Rebook,Tenis deportivos,Hombre,Normal,Sintético,Textil,Goma,Toda temporada,Vietnam,Textil,Tenis Rebook Hombre Running Zig Kinetica 3,4.5,Código: 63869971,,,,Running,,,
Converse,Tenis moda,Unisex,Normal,Tela,Poliéster,Caucho,Toda temporada,China,Poliéster,Tenis Converse Unisex Moda Chuck Taylor All Star,,Código: 72807304,,,439000.0,,,,
Adidas,Tenis moda,Hombre,Normal,Sintético,Textil,Caucho,Toda temporada,Indonesia,,Tenis Adidas para Hombre Moda Advantage,4.8,Código: 16501643,,,379950.0,Lifestyle,,,
Asics,Tenis deportivos,Hombre,Normal,Sintético,Sintético,Sintético,Toda temporada,Vietnam,,Tenis Asics Hombre Running Jolt 4,4.7,Código: 64276569,,,279990.0,Running,,,
Adidas Originals,Tenis moda,Hombre,Normal,Sintético,Textil,Caucho,Toda temporada,Indonesia,Textil,Tenis Adidas Originals para Hombre Moda Superstar,4.6,Código: 72762171,,,599950.0,,,,
Nike,Tenis moda,Hombre,Normal,Cuero,Sintético,Caucho,Toda temporada,Vietnam,,Tenis moda Nike Air Force 1 '07 Fresh Hombre,5.0,Código: 64598744,,,899950.0,,,,
Reebok,Tenis moda,Hombre,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,Tenis Reebok para Hombre Moda Classic Harry Potter | Tenis Harry Potter Reebok Hogwarts,4.0,Código: 72870122,,,429990.0,Lifestyle,,,
Reebok,Tenis moda,Hombre,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,Tenis Reebok para Hombre Moda Classic Harry Potter | Tenis Harry Potter Reebok Hogwarts,4.0,Código: 72870122,,,429990.0,Lifestyle,,,
Nike,Tenis moda,Hombre,Normal,Cuero,Poliéster,Caucho,Toda temporada,Vietnam,Poliéster,Tenis Nike para Hombre Moda Dunk Low Retro Nas | Zapatillas Nike para Hombre Dunk,,Código: 72825859,,,649950.0,,,,
On Running,Tenis deportivos,Mujer,Normal,Sintético,Poliéster,Caucho,Toda temporada,Vietnam,Textil,Tenis On Running para Mujer Running Cloud X 3 AD | Zapatillas On Running para Mujer,,Código: 72736584,,,899990.0,Running,,,
Fila,Tenis moda,Niño,,Sintético,,Sintético,Toda temporada,China,,Tenis Fila Calgary Niño,4.6,Código: 67268047,,,139990.0,,Textil,,
Asics,Tenis moda,Mujer,Normal,Sintético,,Caucho,Toda temporada,Vietnam,,Tenis Asics Mujer Moda Japan S PF,4.8,Código: 52334691,,,349990.0,,Sintético,,
Puma,Tenis moda,Niño,Normal,Sintético,Textil,Caucho,Toda temporada,Vietnam,Textil,Tenis Puma Rickie para Niño,5.0,Código: 72722139,202890.0,231889.99999999997,289900.0,,,30.01,20.01
Adidas,Tenis moda,Hombre,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,Tenis Adidas Hombre Moda Alphaedge +,5.0,Código: 72712589,,,419950.0,Lifestyle,,,
Asics,Tenis,Hombre,Normal,Sintético,Poliéster,Caucho,Toda temporada,Brasil,Poliéster,Tenis Asics para Hombre Running Gel Spectrum Az0,4.6,Código: 72742807,319990.0,,,Running,,,
New Balance,Tenis moda,Hombre,Normal,Sintético,Textil,Caucho,Toda temporada,China,Textil,Tenis New Balance para Hombre Moda 580,5.0,Código: 72735767,,,929990.0,,,,
