brand,type,gender,last_type,material,lining_material,sole_material,season,made_in,insole_material,Name,Rating,Code,CMR Price,Event Price,Full Price,discipline,interior_material
Under Armour,Tenis deportivos,Hombre,Normal,Sintético,Textil,Caucho,Toda temporada,Vietnam,Textil,['Tenis Under Armour Hombre Running Surge 3'],['4.7 (97)'],['Código: 38281929'],,,309.900,Running,
Hoka,Tenis deportivos,Hombre,Normal,Tela,Textil,Goma,Toda temporada,Vietnam,Textil,['Tenis Hoka Hombre Running Bondi 8'],['5 (5)'],['Código: 67134447'],719.990,809.990,899.990,Running,
On Running,Tenis,Hombre,Normal,Sintético,,Sintético,Toda temporada,Vietnam,Textil,['Tenis On Running para Hombre Running Cloudflyer . Zapatillas On Running para hombre'],['(0)'],['Código: 71728446'],,,999.990,Running,Textil
Skechers,Tenis moda,Niño,Normal,Tela,,Goma,Toda temporada,China,Poliéster,['Tenis Skechers Comfyflex Ruzo para Niño Velcro'],['4.5 (2)'],['Código: 72794560'],,,139.900,,Poliéster
Diadora,Tenis moda,Hombre,Normal,Tela,Malla (nylon),Goma,Toda temporada,China,Malla (Nylon),['Tenis Diadora para Hombre Moda Vinfa4'],['(0)'],['Código: 883076004'],,,199.990,Lifestyle,
Puma,Tenis moda,Mujer,Normal,Sintético,Textil,Caucho,Toda temporada,Vietnam,Textil,['Tenis moda Puma Future Rider Play On Mujer'],['4.1 (7)'],['Código: 64279983'],335.990,383.990,479.990,,
Skechers,Tenis moda,Niño,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,['Tenis moda Skechers Go Run Elevate Ciphe para Niño'],['(0)'],['Código: 72882999'],,,179.990,,
Asics,Tenis,Mujer,Normal,Sintético,Poliéster,Caucho,Toda temporada,Indonesia,Poliéster,['Tenis Asics para Mujer Padel Gel Padel Pro 5'],['4.8 (71)'],['Código: 72806983'],258.990,295.990,369.990,Padel,
Converse,Tenis moda,Mujer,Normal,Tela,Poliéster,Caucho,Toda temporada,Vietnam,Poliéster,['Tenis Converse para Mujer Moda Chuck Taylor All Start Lift'],['(0)'],['Código: 72870903'],,,429.990,Lifestyle,
Adidas,Tenis,Hombre,Normal,Tela,Textil,Caucho,Toda temporada,Vietnam,Textil,['Tenis Adidas Running ResponseRunner | Zapatillas Adidas Running ResponseRunner'],['4.9 (25)'],['Código: 72724969'],,,199.990,Running,
Reebok,Tenis deportivos,Hombre,Normal,Tela,Sintético,Goma,Toda temporada,Vietnam,Sintético,['Tenis Reebok Hombre Cross training Flexagon Energy Tr 4'],['5 (21)'],['Código: 72713976'],,,249.900,Cross training,
New Balance,Tenis moda,Hombre,Normal,Tela,Textil,Caucho,Toda temporada,Vietnam,Textil,['Tenis New Balance para Hombre Moda 327'],['5 (9)'],['Código: 72735712'],413.690,472.790,590.990,,
Adidas,Tenis,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,['Tenis Adidas para Mujer Running Switch'],['4.9 (142)'],['Código: 72864246'],,,299.990,Running,
Sybilla,Tenis moda,Mujer,Normal,Sintético,Sintético,Sintético,Toda temporada,China,Sintético,['Tenis Sybilla para Mujer Moda Baskohigh'],['5 (1)'],['Código: 883029211'],,,139.990,Lifestyle,
Adidas,Guayos,Niño,Normal,Sintético,,Sintético,Toda temporada,Camboya,Poliéster,['Guayos para niños Adidas Goletto VIII Terreno Firme'],['4.9 (76)'],['Código: 72724221'],,,199.950,,Textil
Nike,Tenis moda,Mujer,Normal,Cuero,Sintético,Caucho,Toda temporada,Indonesia,,['Tenis Nike para Mujer Moda Blazer Low Platform'],['5 (10)'],['Código: 42928486'],,,649.990,,
Puma,Guayos,Hombre,Normal,Sintético,,Caucho,Toda temporada,China,Textil,['Guayos Puma sin taches para cancha Sintética de Hombre Rapido Iii Tt'],['5 (2)'],['Código: 72794234'],,,329.900,Fútbol,Textil
Puma,Tenis moda,Mujer,Normal,Sintético,Textil,Caucho,Toda temporada,China,Textil,['Tenis Puma para Mujer Cassia Via Charms Wns . Tenis de Moda Puma'],['4.9 (12)'],['Código: 72716662'],335.990,383.990,479.990,,
Reebok,Tenis deportivos,Hombre,Normal,Sintético,Textil,Goma,Toda temporada,Vietnam,Textil,['Tenis Reebok Hombre Cross training Nano X3'],['(0)'],['Código: 70550126'],,,539.990,Cross training,
Reebok,Tenis,Mujer,Normal,Sintético,Sintético,Goma,Toda temporada,Vietnam,Sintético,['Tenis Reebok para Mujer Cross training Nanoflex Tr 2'],['5 (2)'],['Código: 72771751'],272.990,311.990,389.990,Cross training,
Reebok,Tenis moda,Niña,Normal,Tela,,Goma,Toda temporada,China,Textil,['Tenis Reebok Flexagon para Niña'],['5 (1)'],['Código: 63118008'],167.990,191.990,239.990,,Textil
Reebok,Tenis moda,Niño,Normal,Cuero,Textil,Goma,Toda temporada,China,Textil,['Tenis Reebok Classic para Niño'],['(0)'],['Código: 72793527'],139.890,159.890,199.900,,
Skechers,Tenis moda,Hombre,Normal,Sintético,Poliéster,Caucho,Toda temporada,Vietnam,Poliéster,['Tenis Skechers para Hombre Moda Maxprotectspt Balmer'],['4 (4)'],['Código: 72812813'],,,399.990,,
Reebok,Tenis moda,Mujer,Normal,Cuero,Sintético,Goma,Toda temporada,China,Sintético,['Tenis Reebok Mujer Moda Reebok Royal Complete'],['4.7 (281)'],['Código: 72714094'],,,249.900,Lifestyle,
Asics,Tenis moda,Mujer,Normal,Sintético,Poliéster,Caucho,Toda temporada,Camboya,Poliéster,['Tenis Asics Mujer Moda Japan S'],['4.8 (106)'],['Código: 69745058'],251.990,287.990,359.990,,
Diadora,Tenis moda,Hombre,Normal,Tela,Malla (nylon),Goma,Toda temporada,China,Malla (Nylon),['Tenis Diadora para Hombre Moda Vinfa4'],['(0)'],['Código: 883076115'],,,199.990,Lifestyle,
Skechers,Tenis moda,Niña,Normal,Sintético,Poliéster,Caucho,Toda temporada,China,Poliéster,['Tenis Moda Skechers Unogen1 Frostykicks para Niña'],['5 (1)'],['Código: 72838747'],174.890,199.890,249.900,,
Under Armour,Tenis deportivos,Hombre,Normal,Cuero,Textil,Goma,Toda temporada,Vietnam,Textil,['Tenis Under Armour para Hombre Running Charged Assert 9'],['4.6 (15)'],['Código: 72890680'],,,349.990,Running,
Adidas,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,['Tenis Adidas para Mujer Running Switch Move'],['5 (21)'],['Código: 72777209'],,,299.990,Running,
Adidas,Tenis moda,Niña,Normal,Sintético,Sintético,Caucho,Toda temporada,Indonesia,,['Tenis Adidas Grand Court 2.0 para Niña'],['4.8 (949)'],['Código: 39703294'],,,289.950,,
Asics,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Camboya,Poliéster,['Tenis Asics para Mujer Running Gel-Contend 8 Rs0'],['(0)'],['Código: 72782891'],297.490,,,Running,
Puma,Tenis moda,Mujer,Normal,Sintético,,Caucho,Toda temporada,China,Textil,['Tenis Puma para Mujer Moda Karmen Rebelle Charms'],['5 (5)'],['Código: 72794861'],,,479.900,,Textil
Hoka,Tenis,Mujer,Normal,Tela,Textil,Goma,Toda temporada,Vietnam,Textil,['Tenis Hoka para Mujer Running Rincon 3'],['(0)'],['Código: 72783099'],,,699.990,Running,
Puma,Tenis moda,Hombre,Normal,Sintético,,Caucho,Toda temporada,China,Textil,['Tenis Puma para Hombre Moda Roma Country Pack'],['5 (11)'],['Código: 68717742'],321.890,367.890,459.900,,Textil
Fratta,Tenis,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,['Tenis Fratta para Hombre Running Soma'],['4.3 (21)'],['Código: 882877832'],77.990,90.990,129.990,Running,
Nike,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Vietnam,Textil,['Tenis Nike Mujer Running Quest 5'],['4.7 (91)'],['Código: 61580209'],,,419.950,Running,
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,,['Tenis Skechers Mujer - Zapatos Skechers Dama. Tenis cómodos negro Skechers para mujer. Zapatillas moda Skech-Airdynamight'],['4.9 (21)'],['Código: 53921836'],,,,,
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,['Tenis Skechers para Mujer Moda Skech Litepro Lightr'],['4.9 (7)'],['Código: 72806327'],,,279.990,,
Hoka,Tenis,Mujer,Normal,Tela,Textil,Goma,Toda temporada,Vietnam,Textil,['Tenis Hoka para Mujer Running Clifton 9'],['(0)'],['Código: 72783178'],559.990,639.990,799.990,Running,
Puma,Guayos,Hombre,Normal,Sintético,,Sintético,Toda temporada,China,Textil,['Guayos Puma con taches para Hombre Rapido Iii Fg/Ag'],['5 (1)'],['Código: 72794193'],,,319.900,Fútbol,Textil
Adidas,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,['Tenis Adidas Mujer Running Supernova 3 W'],['5 (4)'],['Código: 72712444'],,,599.950,Running,
Adidas,Tenis,Hombre,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,['Tenis Adidas para Hombre Basketball OwnTheGame'],['5 (6)'],['Código: 72738152'],,,439.950,Básquetbol,
Skechers,Tenis moda,Niño,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,['Tenis Moda Skechers Sportcourt92 para Niño Velcro'],['5 (1)'],['Código: 72838573'],,,219.900,,
ALDO,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,['Tenis Disney Aldo para Mujer Moda Sneaker'],['(0)'],['Código: 69352720'],,,,,
Mountain Gear,Tenis deportivos,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,,['Tenis Mountain Gear Mujer Outdoor Annie3'],['4.6 (640)'],['Código: 882258779'],119.990,139.990,199.990,Outdoor,
Nike,Tenis deportivos,Hombre,Normal,Sintético,,Goma,Toda temporada,Vietnam,Poliéster,['Guayos Nike para Hombre Vapor 15 Club Tf'],['5 (5)'],['Código: 72783680'],,,359.950,Fútbol,Poliéster
Puma,Tenis,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Vietnam,Textil,['Tenis Puma para Mujer Cross Training Pwrframe Tr 2 Wns'],['5 (3)'],['Código: 72716605'],461.990,527.990,659.990,Cross training,
On Running,Tenis,Hombre,Normal,Sintético,,Sintético,Toda temporada,Vietnam,Textil,['Tenis On Running para Hombre Running Cloudgo . Zapatillas On Running para hombre'],['5 (3)'],['Código: 71728575'],719.990,809.990,899.990,Running,Textil
Adidas,Tenis moda,Hombre,Normal,Cuero,Textil,Caucho,Toda temporada,Vietnam,Textil,['Tenis Adidas Hombre Moda Adi2000'],['4.8 (1394)'],['Código: 72712179'],,,599.990,,
New Balance,Tenis moda,Hombre,Normal,Sintético,Textil,Caucho,Toda temporada,China,Textil,['Tenis New Balance para Hombre Moda 574'],['4.8 (6)'],['Código: 72735663'],551.590,630.390,787.990,,
Basement,Tenis moda,Mujer,Normal,Sintético,Malla (nylon),Sintético,Toda temporada,China,Cuero,['Tenis Basement para Mujer Moda Asambra'],['1 (1)'],['Código: 883013097'],,,169.990,Lifestyle,
Starter,Tenis moda,Hombre,Normal,Sintético,Sintético,Caucho,Toda temporada,China,,['Tenis Moda Starter Thundersud Hombre'],['4.2 (20)'],['Código: 882760372'],,,,,
Fratta,Guayos,Hombre,Normal,Sintético,,Caucho,Toda temporada,China,,['Guayos Fratta Hombre Fútbol Huang6'],['(0)'],['Código: 882691800'],89.990,104.990,149.990,Fútbol,Sintético
New Balance,Tenis moda,Hombre,Normal,Sintético,Textil,Caucho,Toda temporada,Vietnam,Textil,['Tenis New Balance para Hombre Moda 550'],['4.5 (2)'],['Código: 72735438'],510.990,583.990,729.990,,
ALDO,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,['Tenis Aldo Mujer Moda Etiene'],['5 (1)'],['Código: 53618738'],,,,,
Adidas,Tenis,Hombre,Normal,Tela,,Caucho,Toda temporada,Indonesia,Textil,['Tenis Adidas para Hombre Running AlphaEdge +'],['4.5 (10)'],['Código: 72781144'],,,419.950,Running,Textil
Diadora,Guayos,Hombre,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,['Guayos Cancha Sintética para Hombre Diadora Pichid'],['4.5 (11)'],['Código: 882861284'],119.990,139.990,199.990,Fútbol,
Diadora,Tenis moda,Niño,Normal,Sintético,Malla (nylon),Caucho,Toda temporada,China,Malla (Nylon),['Tenis moda Diadora Boy Bamtelo para Niño Velcro'],['5 (1)'],['Código: 883031513'],,,119.990,,
Puma,Tenis moda,Mujer,Normal,Sintético,Textil,Caucho,Toda temporada,Indonesia,,['Tenis Puma para Mujer Moda Cali Star'],['4.7 (9)'],['Código: 28936201'],398.890,455.890,569.900,,
Asics,Tenis,Hombre,Normal,Sintético,Poliuretano,Caucho,Toda temporada,Indonesia,Poliuretano,['Tenis Asics para Hombre Running Gel Cumulus 25'],['4.8 (35)'],['Código: 72806997'],,,699.990,Running,
Skechers,Tenis,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Sintético,['Tenis Skechers para Mujer Lifestyle Escapeplan Endlesspu'],['5 (5)'],['Código: 72806364'],,,359.990,Lifestyle,
Veja,Tenis moda,Mujer,Normal,Cuero,,Goma,Toda temporada,Brasil,,['Tenis moda Veja Recife Mujer'],['3.7 (3)'],['Código: 62677000'],,,999.990,,Sintético
Diadora,Tenis moda,Mujer,Normal,Sintético,Sintético,Goma,Toda temporada,China,,['Tenis Diadora Mujer Moda Frego2'],['4.6 (561)'],['Código: 881814591'],101.990,118.990,169.990,Lifestyle,
Diadora,Tenis moda,Niño,,Sintético,,Sintético,Toda temporada,China,,['Tenis Diadora Crego6 Niño Velcro'],['4.8 (48)'],['Código: 882663016'],,,,,Sintético
Diadora,Tenis moda,Mujer,Normal,Sintético,Sintético,Sintético,Toda temporada,China,Sintético,['Tenis Diadora para Mujer Lifestyle Bamtela | Tenis de moda para mujer Diadora'],['4.6 (25)'],['Código: 882886045'],149.990,174.990,249.990,,
Reebok,Tenis moda,Niño,Normal,Cuero,,Goma,Toda temporada,China,Textil,['Tenis Reebok Xt Sprinter para Niño'],['5 (3)'],['Código: 63118086'],167.990,191.990,239.990,,Textil
adidas,Tenis moda,Mujer,Normal,Cuero,Sintético,Caucho,Toda temporada,Vietnam,,['Tenis Adidas para Mujer Moda Breaknet 2.0'],['4.8 (63)'],['Código: 61123533'],,,349.950,Lifestyle,
Diadora,Guayos,Hombre,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,['Guayos Cancha Sintética para Hombre Diadora Pichid'],['5 (5)'],['Código: 882861167'],119.990,139.990,199.990,Fútbol,
Nike,Tenis moda,Mujer,Normal,Cuero,Malla (nylon),Caucho,Toda temporada,Vietnam,Malla (Nylon),['Tenis Nike para Mujer Moda W Af1 Plt.Af.Orm| Zapatillas Nike para Mujer Air Force 1'],['(0)'],['Código: 72826032'],535.490,611.990,764.990,,
Nike,Tenis moda,Niño,Normal,Cuero,,Sintético,Toda temporada,Indonesia,Textil,['Tenis Nike Flex Runner 2 Niño'],['4.9 (16)'],['Código: 69406380'],195.990,223.990,279.950,,Textil
Skechers,Tenis moda,Niña,Normal,Sintético,,Goma,Toda temporada,China,,['Tenis Skechers ElectricJumps Niña'],['4.9 (9)'],['Código: 28599563'],132.890,151.890,189.900,,Poliéster
Puma,Tenis,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Vietnam,Textil,['Tenis Puma para Mujer Cross Training Infusion Wns'],['4.4 (7)'],['Código: 72716642'],,,449.990,Cross training,
Reebok,Tenis moda,Hombre,Normal,Cuero,Sintético,Goma,Toda temporada,China,Sintético,['Tenis Reebok Hombre Moda Reebok Royal Complete'],['4.5 (246)'],['Código: 72714103'],,,249.900,Lifestyle,
Diadora,Tenis moda,Hombre,Normal,Tela,Poliéster,Goma,Toda temporada,China,Textil,['Tenis Diadora para Hombre Nextgen'],['4.4 (35)'],['Código: 882886784'],,,179.990,Lifestyle,
Diadora,Guayos,Hombre,Normal,Sintético,,Goma,Toda temporada,China,Poliéster,['Guayos de Cancha Sintética para Hombre Diadora Pichid sin Taches'],['5 (2)'],['Código: 882861359'],119.990,139.990,199.990,Fútbol,Poliéster
On Running,Tenis deportivos,Hombre,Normal,Tela,Textil,Caucho,Toda temporada,Vietnam,Textil,['Tenis Onrunning para Hombre Running Cloudmonster'],['(0)'],['Código: 72901711'],,,999.990,Running,
Nike,Tenis moda,Mujer,Normal,Cuero,Poliéster,Caucho,Toda temporada,China,Poliéster,['Tenis Nike para Mujer Moda W Af1 Shadow| Zapatillas Nike para Mujer Air Force 1'],['5 (1)'],['Código: 72826073'],,,859.950,,
Reebok,Tenis,Mujer,Normal,Sintético,Textil,Caucho,Toda temporada,Vietnam,Textil,['Tenis Reebok para Mujer Lifestyle Princess | Zapatillas Reebok Mujer de moda color Negro'],['(0)'],['Código: 72832809'],174.990,199.990,249.990,Lifestyle,
Asics,Tenis deportivos,Mujer,Normal,Sintético,Poliéster,Caucho,Toda temporada,Brasil,Poliéster,['Tenis Asics Mujer Running Gel-Pulse 14'],['4.9 (9)'],['Código: 72713766'],293.990,335.990,419.990,Running,
Converse,Tenis moda,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Vietnam,,['Tenis Moda Converse Chuck Taylor All Star Lift Mujer'],['4.6 (8)'],['Código: 16813212'],,,399.990,,
Adidas,Tenis moda,Niña,Normal,Sintético,Sintético,Caucho,Toda temporada,Indonesia,,['Tenis adidas Advantage CF I Niña'],['4.7 (247)'],['Código: 39704071'],188.990,215.990,269.950,,
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Caucho,Toda temporada,China,Poliéster,['Tenis Skechers para Mujer Moda Dlites Coolchange'],['5 (5)'],['Código: 72806429'],,,349.990,,
Asics,Tenis deportivos,Hombre,Normal,Sintético,Sintético,Sintético,Toda temporada,Vietnam,Textil,['Tenis Asics Hombre Running Noosa Tri 14'],['4.8 (16)'],['Código: 67209874'],,,599.990,Running,
Diadora,Tenis moda,Hombre,Normal,Sintético,Malla (nylon),Caucho,Toda temporada,China,Malla (Nylon),['Tenis Diadora para Hombre Moda James7'],['4.4 (8)'],['Código: 883015992'],,,159.990,Lifestyle,
Skechers,Tenis moda,Niño,Normal,Sintético,,Goma,Toda temporada,China,Sintético,['Tenis Skechers Bounder Niño'],['4.6 (5)'],['Código: 66150325'],,,169.900,,Poliéster
Bearcliff,Tenis moda,Hombre,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,['Tenis Bearcliff para Hombre Moda Askar'],['4.7 (7)'],['Código: 882814539'],,,139.990,,
Diadora,Guayos,Hombre,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,['Guayos Cancha Sintética para Hombre Diadora Pichid'],['4.8 (8)'],['Código: 882861159'],119.990,139.990,199.990,Fútbol,
Asics,Tenis moda,Hombre,Normal,Sintético,Poliéster,Caucho,Toda temporada,Brasil,Poliéster,['Tenis Asics Hombre Moda Japan S'],['4.8 (80)'],['Código: 69745032'],223.990,255.990,319.990,,
Vans,Tenis moda,Unisex,Normal,Tela,Textil,Caucho,Toda temporada,China,Textil,['Tenis Vans Unisex Moda Era'],['4.4 (5)'],['Código: 28053967'],188.990,215.990,269.990,,
Veja,Tenis moda,Hombre,Normal,Cuero,Textil,Caucho,Toda temporada,Brasil,,['Tenis Moda Veja V-15 Extra Nautico Hombre'],['5 (1)'],['Código: 39524425'],,,,,
Reebok,Tenis moda,Mujer,Normal,Sintético,Textil,Goma,Toda temporada,Vietnam,Textil,['Tenis Reebok para Mujer Moda Court Ad'],['4.3 (3)'],['Código: 72816078'],230.890,263.890,329.900,,
Skechers,Tenis deportivos,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,['Tenis Skechers Mujer Summits Cool Classic 149206LGLV'],['5 (1)'],['Código: 12489963'],179.990,199.990,254.900,,
Reebok,Tenis,Mujer,Normal,Tela,Textil,Goma,Toda temporada,China,Textil,['Tenis Reebok para Mujer Running Zig Dynamica 4 | Tenis para Mujer de Running Color Azul'],['5 (1)'],['Código: 72815832'],272.890,311.890,389.900,Running,
Starter,Tenis moda,Hombre,Normal,Sintético,Malla (nylon),Caucho,Toda temporada,China,Malla (Nylon),['Tenis Starter Hombre Moda PowerX'],['4.8 (20)'],['Código: 882814451'],,,249.990,,
Reebok,Tenis moda,Mujer,Normal,Cuero,Textil,Goma,Toda temporada,Vietnam,Textil,['Tenis Reebok para Mujer Moda Classic'],['4.7 (884)'],['Código: 72815591'],258.990,295.990,369.990,,
Adidas,Tenis,Hombre,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,['Tenis Adidas para Hombre Running Duramo RC'],['4.5 (46)'],['Código: 72750369'],,,299.990,Running,
Reebok,Tenis moda,Mujer,Normal,Sintético,Textil,Goma,Toda temporada,China,Textil,['Tenis Reebok para Mujer Moda Glide Sp'],['5 (3)'],['Código: 72771721'],,,339.990,,
ALDO,Tenis moda,Mujer,Normal,Sintético,Sintético,Sintético,Toda temporada,China,,['Tenis Aldo Mujer Moda Dilathielle'],['4.3 (66)'],['Código: 24709874'],197.990,230.990,329.990,,
Veja,Tenis moda,Hombre,Normal,Cuero,Sintético,Goma,Toda temporada,Brasil,,['Tenis moda Veja Esplar Hombre'],['4.8 (6)'],['Código: 62677275'],671.990,755.990,839.990,,
Fratta,Tenis,Hombre,Normal,Tela,Malla (nylon),Sintético,Toda temporada,China,Malla (Nylon),['Tenis Fratta para Hombre Running Tinmarita'],['5 (2)'],['Código: 883014506'],83.990,97.990,139.990,Running,
Nike,Tenis moda,Niña,Normal,Sintético,Sintético,Caucho,Toda temporada,Vietnam,Sintético,['Tenis Nike Court Borough Low 2 para Niña Velcro'],['5 (3)'],['Código: 36549816'],220.490,251.990,314.990,Lifestyle,
Asics,Tenis deportivos,Mujer,Normal,Sintético,Poliéster,Caucho,Otoño-Invierno,Vietnam,Poliéster,['Tenis Asics para Mujer Running Novablast 4'],['4.7 (9)'],['Código: 72902052'],,,699.990,Running,
Asics,Tenis deportivos,Hombre,Normal,Sintético,Textil,Caucho,Toda temporada,Camboya,Poliéster,['Tenis Asics para Hombre Running Patriot 13'],['5 (1)'],['Código: 71278842'],,,329.990,Running,
On Running,Tenis,Hombre,Normal,Tela,Poliéster,Caucho,Toda temporada,Vietnam,Poliéster,['Tenis On Running para Hombre Running Cloudmonster'],['5 (3)'],['Código: 72736678'],,,999.990,Running,
Diadora,Tenis moda,Niño,Normal,Sintético,Malla (nylon),Caucho,Toda temporada,China,Malla (Nylon),['Tenis moda Diadora Boy Bamtelo para Niño Velcro'],['(0)'],['Código: 883030906'],,,119.990,,
Adidas,Tenis deportivos,Unisex,Normal,Sintético,,Caucho,Toda temporada,Vietnam,Textil,['Tenis Adidas para Niño Advantage'],['4.8 (278)'],['Código: 72751925'],167.990,191.990,239.950,,Textil
Nike,Tenis moda,Hombre,Normal,Cuero,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,['Tenis Nike para Hombre Moda Sb Force58'],['5 (2)'],['Código: 72875553'],,,414.990,Lifestyle,
On Running,Tenis deportivos,Hombre,Normal,Sintético,Textil,Caucho,Toda temporada,Vietnam,,['Tenis On Running Hombre Running Cloud X 3'],['5 (1)'],['Código: 48607735'],719.990,809.990,899.990,Running,
Diadora,Tenis deportivos,Mujer,Normal,Sintético,,Goma,Toda temporada,Vietnam,Sintético,['Tenis Diadora para Mujer Running Snipe | Zapatillas para mujer Diadora'],['4.7 (6)'],['Código: 882861172'],131.990,153.990,219.990,Running,Sintético
Skechers,Tenis moda,Mujer,Normal,Sintético,,Goma,Toda temporada,Vietnam,Poliéster,['Tenis Skechers para Mujer Moda Gorunelevate Hotstre'],['4.6 (11)'],['Código: 72791534'],,,299.990,,Poliéster
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,['Tenis Skechers Slip In Mujer Manos Libres | Zapatos Skechers Dama | Tenis negro cómodos Skechers para mujer | Zapatillas moda Ultraflex 3 |0'],['4.7 (21)'],['Código: 69670218'],221.890,258.890,369.900,,
Puma,Tenis moda,Hombre,Normal,Cuero,Textil,Caucho,Toda temporada,China,Textil,['Tenis Puma para Hombre Moda Suede Classic XXI'],['4.3 (4)'],['Código: 68717691'],342.890,391.890,489.900,,
Adidas,Tenis deportivos,Hombre,Normal,Sintético,Textil,Caucho,Toda temporada,Myanmar,,['Tenis Adidas para Hombre Running Ultimashow'],['4.8 (445)'],['Código: 10843635'],,,,Running,
ALDO,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,,['Tenis Moda Aldo Mujer Blanco Phiobe'],['3.2 (5)'],['Código: 61899990'],,,,,
adidas,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,China,,['Tenis Adidas para Mujer Running Ultraboost Light'],['4.8 (248)'],['Código: 65698924'],,,,Running,
New Balance,Tenis moda,Hombre,Normal,Cuero,Textil,Caucho,Toda temporada,China,Textil,['Tenis New Balance para Hombre Moda 574'],['4.6 (55)'],['Código: 72802517'],,,539.990,,
Asics,Tenis deportivos,Mujer,Normal,Sintético,Poliuretano,Caucho,Toda temporada,Vietnam,Textil,['Tenis Asics Mujer Running Noosa Tri 15'],['4.9 (22)'],['Código: 71282020'],,,669.990,Running,
Adidas,Tenis moda,Hombre,Normal,Tela,Textil,Caucho,Toda temporada,China,Textil,['Tenis Adidas para Hombre Moda D-Pad'],['5 (9)'],['Código: 72889107'],,,549.990,Lifestyle,
Adidas,Tenis deportivos,Hombre,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,['Tenis Adidas Hombre Running Response Runner U'],['4.8 (1705)'],['Código: 71786769'],,,199.990,Running,
Reebok,Tenis moda,Unisex,Normal,Tela,Poliéster,Goma,Toda temporada,China,Poliéster,['Tenis Reebok Club C 85 Harry Potter Unisex | Tenis Harry Potter Reebok Hogwarts'],['(0)'],['Código: 72870162'],,,259.990,,
PUMA,Tenis deportivos,Mujer,,Tela,,Caucho,Toda temporada,Vietnam,,['Tenis Puma para Mujer Running Twitch Runner'],['5 (1)'],['Código: 47594798'],237.890,271.890,339.900,Running,Textil
Adidas,Tenis deportivos,Hombre,Normal,Tela,Textil,Caucho,Toda temporada,China,Textil,['Tenis Adidas para Hombre Running Tenis Adidas Adizero Sl Running'],['4.8 (784)'],['Código: 72094107'],,,649.950,Running,
Puma,Tenis moda,Mujer,Normal,Sintético,Textil,Caucho,Toda temporada,China,Textil,['Tenis Puma Mujer Moda X-Ray Speed Lite'],['(0)'],['Código: 52325896'],314.990,359.990,449.990,Lifestyle,
Reebok,Tenis moda,Unisex,Normal,Tela,Poliéster,Goma,Toda temporada,China,Poliéster,['Tenis Reebok Club C 85 Harry Potter Unisex | Tenis Harry Potter Reebok Hogwarts'],['(0)'],['Código: 72870167'],,,299.990,,
adidas,Tenis moda,Hombre,Normal,Cuero,,Caucho,Toda temporada,Indonesia,,['Tenis adidas Hombre Moda Streetcheck'],['4.8 (168)'],['Código: 63085044'],,,379.950,,Textil
Diadora,Tenis,Hombre,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,['Tenis Diadora para Hombre Running Eagle'],['5 (7)'],['Código: 882861314'],119.990,139.990,199.990,Running,
Diadora,Guayos,Hombre,Normal,Sintético,Textil,Caucho,Toda temporada,Italia,,"['Guayos Diadora Para Cancha Sintética - Zapatilla De Fútbol Con Suela Lisa Y Sin Taches, Color Gris De Hombre Con Cordones']",['4.8 (6)'],['Código: 882530193'],,,199.990,Fútbol,
